0.0_t	0.0_f	0.0_t	0.0_f	0.0_t	0.0_f	
0.00000	2091.4850	0.00000	2075.6070	0.00000	2067.2860	
0.07452	2088.1060	0.07452	2067.3390	0.07452	2067.4820	
0.14903	2090.7790	0.14903	2068.0640	0.14903	2073.0170	
0.22355	2081.4210	0.22355	2073.5650	0.22355	2072.1350	
0.29806	2093.0980	0.29806	2075.5530	0.29806	2068.7700	
0.37258	2084.0730	0.37258	2075.2670	0.37258	2067.7690	
0.44709	2083.5910	0.44709	2070.3730	0.44709	2066.2640	
0.52161	2086.7200	0.52161	2068.4120	0.52161	2075.5380	
0.59612	2094.3460	0.59612	2076.0420	0.59612	2068.1380	
0.67064	2088.6870	0.67064	2075.8840	0.67064	2072.0240	
0.74516	2095.6490	0.74516	2067.6200	0.74516	2068.0670	
0.81967	2085.0330	0.81967	2069.3900	0.81967	2077.6690	
0.89419	2084.9170	0.89419	2070.7670	0.89419	2066.5260	
0.96870	2076.0150	0.96870	2070.0720	0.96870	2068.6570	
1.04322	2082.9770	1.04322	2073.6010	1.04322	2066.1150	
1.11773	2083.7310	1.11773	2074.6470	1.11773	2071.3000	
1.19225	2085.5840	1.19225	2073.7530	1.19225	2068.1260	
1.26677	2081.2240	1.26677	2069.7500	1.26677	2067.0680	
1.34128	2084.3000	1.34128	2070.8620	1.34128	2073.9290	
1.41580	2086.2340	1.41580	2070.3460	1.41580	2065.6050	
1.49031	2083.0120	1.49031	2073.6460	1.49031	2073.8420	
1.56483	2078.6110	1.56483	2078.4500	1.56483	2070.1920	
1.63934	2078.6020	1.63934	2066.5560	1.63934	2066.7640	
1.71386	2083.1760	1.71386	2078.2020	1.71386	2063.7090	
1.78837	2078.4470	1.78837	2072.1320	1.78837	2067.0470	
1.86289	2085.2180	1.86289	2075.4550	1.86289	2069.3120	
1.93741	2081.7130	1.93741	2071.8310	1.93741	2061.6290	
2.01192	2073.4760	2.01192	2071.2020	2.01192	2063.0450	
2.08644	2084.4220	2.08644	2074.0660	2.08644	2065.8400	
2.16095	2081.3410	2.16095	2066.9190	2.16095	2071.6880	
2.23547	2074.5010	2.23547	2069.8070	2.23547	2071.3240	
2.30998	2081.3970	2.30998	2074.7420	2.30998	2065.6880	
2.38450	2083.7810	2.38450	2076.6350	2.38450	2068.9100	
2.45901	2082.5830	2.45901	2071.5270	2.45901	2063.4590	
2.53353	2072.4180	2.53353	2067.3390	2.53353	2060.7260	
2.60805	2079.8410	2.60805	2067.9710	2.60805	2073.9410	
2.68256	2076.7570	2.68256	2069.5240	2.68256	2062.7200	
2.75708	2077.1620	2.75708	2059.2150	2.75708	2070.5700	
2.83159	2076.3840	2.83159	2071.6640	2.83159	2067.5750	
2.90611	2080.0200	2.90611	2070.4030	2.90611	2062.0050	
2.98062	2075.6810	2.98062	2074.0210	2.98062	2059.9990	
3.05514	2081.0870	3.05514	2069.6940	3.05514	2067.8400	
