0.0_t	0.0_f	0.1_t	0.1_f	0.1_t	0.1_f	0.2_t	0.2_f	0.5_t	0.5_f	1.0_t	1.0_f	2.0_t	2.0_f	3.9_t	3.9_f	7.8_t	7.8_f	15.6_t	15.6_f	31.3_t	31.3_f	62.5_t	62.5_f	125.0_t	125.0_f	250.0_t	250.0_f	500.0_t	500.0_f	0.0_t	0.0_f	0.1_t	0.1_f	0.1_t	0.1_f	0.2_t	0.2_f	0.5_t	0.5_f	1.0_t	1.0_f	2.0_t	2.0_f	3.9_t	3.9_f	7.8_t	7.8_f	15.6_t	15.6_f	31.3_t	31.3_f	62.5_t	62.5_f	125.0_t	125.0_f	250.0_t	250.0_f	500.0_t	500.0_f	0.0_t	0.0_f	0.1_t	0.1_f	0.1_t	0.1_f	0.2_t	0.2_f	0.5_t	0.5_f	1.0_t	1.0_f	2.0_t	2.0_f	3.9_t	3.9_f	7.8_t	7.8_f	15.6_t	15.6_f	31.3_t	31.3_f	62.5_t	62.5_f	125.0_t	125.0_f	250.0_t	250.0_f	500.0_t	500.0_f	
0.00000	5015.9480	0.00000	4819.2830	0.00000	4805.7820	0.00000	4691.3120	0.00000	4775.0560	0.00000	4782.6110	0.00000	4730.0190	0.00000	4749.1700	0.00000	4725.9870	0.00000	4897.1980	0.00000	4377.1590	0.00000	4511.9790	0.00000	4621.5000	0.00000	4720.0620	0.00000	4796.7700	0.00000	5015.2990	0.00000	4825.1570	0.00000	4806.0330	0.00000	4651.1680	0.00000	4762.5480	0.00000	4762.1250	0.00000	4720.5630	0.00000	4725.6470	0.00000	4712.0030	0.00000	4901.6300	0.00000	4357.9430	0.00000	4508.4090	0.00000	4608.3300	0.00000	4720.6760	0.00000	4795.6050	0.00000	5009.1330	0.00000	4816.8570	0.00000	4787.2600	0.00000	4665.4490	0.00000	4763.2900	0.00000	4755.7470	0.00000	4723.8920	0.00000	4729.9590	0.00000	4713.6160	0.00000	4900.4260	0.00000	4360.4340	0.00000	4492.8940	0.00000	4600.2090	0.00000	4711.6340	0.00000	4794.9820	
0.07452	5034.3660	0.07452	4815.8710	0.07452	4809.7910	0.07452	4670.0600	0.07452	4774.3050	0.07452	4761.1860	0.07452	4725.9330	0.07452	4744.3870	0.07452	4724.5530	0.07452	4898.5450	0.07452	4370.7700	0.07452	4509.5800	0.07452	4611.8560	0.07452	4737.5950	0.07452	4802.1470	0.07452	5013.6270	0.07452	4808.8640	0.07452	4788.1870	0.07452	4655.2090	0.07452	4772.1120	0.07452	4770.9350	0.07452	4724.4280	0.07452	4739.7910	0.07452	4715.4870	0.07452	4886.9040	0.07452	4366.8450	0.07452	4500.7290	0.07452	4592.4960	0.07452	4715.0700	0.07452	4809.9370	0.07452	5011.7730	0.07452	4816.1420	0.07452	4791.5490	0.07452	4657.6530	0.07452	4759.7590	0.07452	4766.3810	0.07452	4722.7320	0.07452	4731.8400	0.07452	4724.3710	0.07452	4894.3340	0.07452	4361.9040	0.07452	4513.1240	0.07452	4588.7260	0.07452	4713.6220	0.07452	4805.2040	
0.14903	5028.7190	0.14903	4815.2300	0.14903	4805.9310	0.14903	4681.0270	0.14903	4773.6050	0.14903	4777.4020	0.14903	4737.1090	0.14903	4757.4370	0.14903	4729.2680	0.14903	4895.7880	0.14903	4371.6550	0.14903	4509.5530	0.14903	4613.1670	0.14903	4727.6910	0.14903	4799.8130	0.14903	5008.7840	0.14903	4819.9980	0.14903	4793.8110	0.14903	4667.0050	0.14903	4769.3490	0.14903	4772.0640	0.14903	4721.3350	0.14903	4728.5650	0.14903	4716.9720	0.14903	4893.7560	0.14903	4353.6160	0.14903	4498.1450	0.14903	4596.3440	0.14903	4715.2730	0.14903	4801.9410	0.14903	5007.3030	0.14903	4822.1320	0.14903	4803.6160	0.14903	4673.7250	0.14903	4765.9370	0.14903	4766.0800	0.14903	4717.8420	0.14903	4727.5660	0.14903	4711.2290	0.14903	4899.4900	0.14903	4355.5290	0.14903	4499.5640	0.14903	4596.2330	0.14903	4714.5840	0.14903	4809.5020	
0.22355	5023.4680	0.22355	4808.3750	0.22355	4804.1940	0.22355	4677.5790	0.22355	4772.9550	0.22355	4774.4840	0.22355	4725.5010	0.22355	4745.6860	0.22355	4718.0950	0.22355	4906.0200	0.22355	4366.2520	0.22355	4500.8930	0.22355	4617.0380	0.22355	4712.7340	0.22355	4795.9300	0.22355	5016.3420	0.22355	4807.1410	0.22355	4795.2830	0.22355	4654.5060	0.22355	4761.5500	0.22355	4770.9050	0.22355	4729.5510	0.22355	4734.2780	0.22355	4714.0720	0.22355	4900.8820	0.22355	4347.3330	0.22355	4495.1650	0.22355	4603.4660	0.22355	4715.3740	0.22355	4791.8290	0.22355	5004.6470	0.22355	4811.6480	0.22355	4792.4130	0.22355	4668.1970	0.22355	4759.6480	0.22355	4753.3630	0.22355	4719.0520	0.22355	4724.0080	0.22355	4721.8380	0.22355	4901.9990	0.22355	4357.8650	0.22355	4507.0650	0.22355	4599.1900	0.22355	4713.6340	0.22355	4787.5400	
0.29806	5027.3300	0.29806	4814.3360	0.29806	4811.8000	0.29806	4684.2400	0.29806	4777.8400	0.29806	4769.0840	0.29806	4729.5540	0.29806	4748.8570	0.29806	4719.0400	0.29806	4910.0940	0.29806	4374.7280	0.29806	4502.0400	0.29806	4615.5840	0.29806	4721.9280	0.29806	4812.5510	0.29806	5004.9780	0.29806	4807.3860	0.29806	4792.8840	0.29806	4662.2870	0.29806	4758.0360	0.29806	4758.0120	0.29806	4719.9670	0.29806	4735.2460	0.29806	4704.2880	0.29806	4901.3850	0.29806	4356.7720	0.29806	4509.0850	0.29806	4598.1500	0.29806	4708.8330	0.29806	4799.9020	0.29806	5005.3860	0.29806	4824.1940	0.29806	4798.6660	0.29806	4659.3900	0.29806	4771.9480	0.29806	4774.9010	0.29806	4705.6230	0.29806	4727.8910	0.29806	4704.8540	0.29806	4891.7260	0.29806	4354.6410	0.29806	4507.7090	0.29806	4584.6550	0.29806	4711.5830	0.29806	4791.3760	
0.37258	5021.2140	0.37258	4825.0500	0.37258	4808.0770	0.37258	4667.0790	0.37258	4771.9150	0.37258	4769.3040	0.37258	4718.3510	0.37258	4735.7560	0.37258	4723.0090	0.37258	4897.3050	0.37258	4371.2760	0.37258	4506.1290	0.37258	4606.4670	0.37258	4713.4520	0.37258	4794.5260	0.37258	5012.3160	0.37258	4821.3210	0.37258	4791.4420	0.37258	4662.8590	0.37258	4769.3010	0.37258	4766.4140	0.37258	4720.0110	0.37258	4725.0030	0.37258	4708.4570	0.37258	4901.6980	0.37258	4358.4050	0.37258	4504.9100	0.37258	4598.1590	0.37258	4709.4430	0.37258	4785.6720	0.37258	5011.1830	0.37258	4815.0420	0.37258	4792.1330	0.37258	4658.9490	0.37258	4765.1530	0.37258	4765.5730	0.37258	4725.4230	0.37258	4737.2940	0.37258	4702.5890	0.37258	4901.7190	0.37258	4364.7470	0.37258	4498.6720	0.37258	4595.8250	0.37258	4713.9140	0.37258	4804.1080	
0.44709	5029.8420	0.44709	4825.6310	0.44709	4801.3570	0.44709	4680.3180	0.44709	4776.0100	0.44709	4768.5330	0.44709	4732.5490	0.44709	4750.2160	0.44709	4722.9800	0.44709	4901.5400	0.44709	4379.0130	0.44709	4506.2600	0.44709	4601.0380	0.44709	4714.1850	0.44709	4791.8650	0.44709	5009.0490	0.44709	4819.1430	0.44709	4791.5130	0.44709	4657.9480	0.44709	4765.7820	0.44709	4760.0330	0.44709	4730.6150	0.44709	4730.7580	0.44709	4715.7170	0.44709	4897.1590	0.44709	4351.7230	0.44709	4512.2390	0.44709	4593.6200	0.44709	4722.5710	0.44709	4795.4140	0.44709	5008.2090	0.44709	4804.0900	0.44709	4784.6620	0.44709	4648.2620	0.44709	4764.0440	0.44709	4760.3730	0.44709	4720.2080	0.44709	4727.7270	0.44709	4733.0080	0.44709	4904.8040	0.44709	4352.8080	0.44709	4503.9150	0.44709	4601.5830	0.44709	4716.7600	0.44709	4801.8190	
0.52161	5014.7890	0.52161	4825.2250	0.52161	4815.1220	0.52161	4674.5840	0.52161	4772.6660	0.52161	4771.7120	0.52161	4716.6110	0.52161	4732.5430	0.52161	4729.6140	0.52161	4897.3650	0.52161	4373.5680	0.52161	4505.8310	0.52161	4606.5330	0.52161	4720.7800	0.52161	4808.5990	0.52161	5001.0260	0.52161	4813.2600	0.52161	4796.3470	0.52161	4650.4350	0.52161	4756.4510	0.52161	4758.7510	0.52161	4714.2980	0.52161	4735.2250	0.52161	4718.5450	0.52161	4889.4230	0.52161	4364.3650	0.52161	4504.7700	0.52161	4597.7260	0.52161	4711.3180	0.52161	4801.1360	0.52161	5004.3550	0.52161	4820.3950	0.52161	4797.2170	0.52161	4656.2940	0.52161	4761.1030	0.52161	4764.2830	0.52161	4724.1810	0.52161	4733.1330	0.52161	4716.1010	0.52161	4897.0070	0.52161	4351.5500	0.52161	4503.6760	0.52161	4587.5280	0.52161	4713.0230	0.52161	4797.6730	
0.59612	5021.8400	0.59612	4824.7840	0.59612	4800.4360	0.59612	4682.8600	0.59612	4769.7510	0.59612	4763.9130	0.59612	4727.0060	0.59612	4739.5910	0.59612	4725.7240	0.59612	4910.4450	0.59612	4367.5900	0.59612	4508.9220	0.59612	4598.5220	0.59612	4711.2700	0.59612	4812.2820	0.59612	5009.0970	0.59612	4818.8720	0.59612	4778.2360	0.59612	4664.2150	0.59612	4762.7630	0.59612	4774.3470	0.59612	4721.1530	0.59612	4729.4380	0.59612	4722.3000	0.59612	4901.7760	0.59612	4360.9770	0.59612	4505.0380	0.59612	4582.0650	0.59612	4711.6640	0.59612	4801.5390	0.59612	5000.3680	0.59612	4805.4580	0.59612	4794.4310	0.59612	4664.6600	0.59612	4767.4660	0.59612	4763.3980	0.59612	4701.8530	0.59612	4728.5440	0.59612	4718.4650	0.59612	4887.5720	0.59612	4353.9380	0.59612	4513.3950	0.59612	4589.3640	0.59612	4722.6280	0.59612	4792.8480	
0.67064	5010.2200	0.67064	4810.5150	0.67064	4797.2380	0.67064	4670.9630	0.67064	4768.3360	0.67064	4763.4360	0.67064	4733.2530	0.67064	4738.6910	0.67064	4727.8790	0.67064	4898.6910	0.67064	4363.7040	0.67064	4498.0050	0.67064	4596.0340	0.67064	4717.9490	0.67064	4794.3710	0.67064	5006.9840	0.67064	4809.5610	0.67064	4787.1080	0.67064	4663.8850	0.67064	4762.2800	0.67064	4775.3330	0.67064	4738.3070	0.67064	4730.8470	0.67064	4721.1140	0.67064	4897.1560	0.67064	4348.8200	0.67064	4497.2960	0.67064	4591.9780	0.67064	4709.9110	0.67064	4781.5350	0.67064	5004.0160	0.67064	4830.0890	0.67064	4788.9650	0.67064	4664.7550	0.67064	4753.1930	0.67064	4758.2420	0.67064	4723.7900	0.67064	4726.6270	0.67064	4722.3480	0.67064	4896.2500	0.67064	4354.3070	0.67064	4500.4580	0.67064	4583.6030	0.67064	4705.2000	0.67064	4797.8790	
0.74516	5023.8100	0.74516	4819.6850	0.74516	4801.0410	0.74516	4667.8100	0.74516	4762.2140	0.74516	4765.6540	0.74516	4718.4910	0.74516	4742.8340	0.74516	4716.2380	0.74516	4901.2390	0.74516	4374.4470	0.74516	4511.7800	0.74516	4614.9490	0.74516	4719.3230	0.74516	4798.2570	0.74516	5012.6580	0.74516	4819.2920	0.74516	4799.9710	0.74516	4667.4880	0.74516	4765.8620	0.74516	4754.5970	0.74516	4718.4530	0.74516	4734.2810	0.74516	4711.4070	0.74516	4898.6110	0.74516	4359.1680	0.74516	4502.0670	0.74516	4593.7270	0.74516	4711.8720	0.74516	4790.6190	0.74516	5008.7390	0.74516	4831.6720	0.74516	4791.6920	0.74516	4669.0200	0.74516	4771.5190	0.74516	4758.0930	0.74516	4722.9470	0.74516	4723.2210	0.74516	4730.8000	0.74516	4892.2090	0.74516	4350.0480	0.74516	4505.4580	0.74516	4589.5670	0.74516	4715.2070	0.74516	4791.7540	
0.81967	5027.1570	0.81967	4827.2370	0.81967	4796.0010	0.81967	4671.7020	0.81967	4765.3230	0.81967	4771.2060	0.81967	4724.6750	0.81967	4749.3400	0.81967	4712.8350	0.81967	4889.4110	0.81967	4367.5540	0.81967	4509.2940	0.81967	4602.8970	0.81967	4710.3380	0.81967	4790.2200	0.81967	5019.3460	0.81967	4816.5560	0.81967	4799.1190	0.81967	4661.4020	0.81967	4767.2900	0.81967	4761.6360	0.81967	4724.1840	0.81967	4736.3520	0.81967	4716.8110	0.81967	4906.0970	0.81967	4353.1150	0.81967	4495.6210	0.81967	4594.4900	0.81967	4714.4440	0.81967	4803.2610	0.81967	5004.3140	0.81967	4823.0260	0.81967	4793.9690	0.81967	4656.2550	0.81967	4752.8890	0.81967	4761.4190	0.81967	4727.2440	0.81967	4724.9080	0.81967	4737.2550	0.81967	4893.0500	0.81967	4348.8830	0.81967	4504.6990	0.81967	4595.9030	0.81967	4722.2850	0.81967	4795.3370	
0.89419	5015.4890	0.89419	4810.5810	0.89419	4797.5030	0.89419	4665.2760	0.89419	4768.1810	0.89419	4775.2860	0.89419	4730.8980	0.89419	4747.1460	0.89419	4719.8860	0.89419	4899.3140	0.89419	4370.0040	0.89419	4503.7630	0.89419	4596.7880	0.89419	4719.9490	0.89419	4795.6790	0.89419	5004.8170	0.89419	4816.3470	0.89419	4792.5080	0.89419	4660.1180	0.89419	4763.3380	0.89419	4768.0110	0.89419	4718.1730	0.89419	4724.7260	0.89419	4705.2800	0.89419	4881.9090	0.89419	4352.7190	0.89419	4504.6810	0.89419	4595.9470	0.89419	4714.5990	0.89419	4787.2540	0.89419	5015.6740	0.89419	4810.5980	0.89419	4790.6910	0.89419	4665.5270	0.89419	4748.1180	0.89419	4758.9990	0.89419	4725.5900	0.89419	4734.6620	0.89419	4723.7550	0.89419	4890.1620	0.89419	4356.8880	0.89419	4507.3780	0.89419	4577.8190	0.89419	4720.8940	0.89419	4800.0400	
0.96870	5014.6460	0.96870	4832.2170	0.96870	4809.5460	0.96870	4670.5190	0.96870	4762.9210	0.96870	4759.2460	0.96870	4734.9480	0.96870	4734.1020	0.96870	4722.7620	0.96870	4900.6670	0.96870	4360.6340	0.96870	4519.0390	0.96870	4612.3000	0.96870	4716.6260	0.96870	4787.0250	0.96870	5007.6900	0.96870	4827.7080	0.96870	4788.5600	0.96870	4656.5530	0.96870	4754.2840	0.96870	4761.9700	0.96870	4734.4300	0.96870	4717.9280	0.96870	4718.6340	0.96870	4885.7270	0.96870	4353.9970	0.96870	4500.6100	0.96870	4591.8640	0.96870	4718.9090	0.96870	4794.7080	0.96870	4996.7170	0.96870	4812.3330	0.96870	4786.6790	0.96870	4681.8790	0.96870	4754.6300	0.96870	4768.9800	0.96870	4715.3740	0.96870	4726.5110	0.96870	4721.2930	0.96870	4899.3380	0.96870	4351.8130	0.96870	4502.2550	0.96870	4587.6150	0.96870	4707.2770	0.96870	4790.0140	
1.04322	5022.9700	1.04322	4820.7460	1.04322	4797.9500	1.04322	4672.2230	1.04322	4764.8220	1.04322	4766.5090	1.04322	4729.4680	1.04322	4731.1540	1.04322	4718.2530	1.04322	4902.0830	1.04322	4367.2350	1.04322	4514.6640	1.04322	4607.3850	1.04322	4722.2520	1.04322	4791.7660	1.04322	4997.4140	1.04322	4814.0320	1.04322	4788.3300	1.04322	4649.4660	1.04322	4755.9800	1.04322	4765.8500	1.04322	4717.9580	1.04322	4729.5090	1.04322	4715.3380	1.04322	4890.9190	1.04322	4353.2520	1.04322	4498.8240	1.04322	4598.4390	1.04322	4716.2090	1.04322	4800.7820	1.04322	5005.1510	1.04322	4816.0520	1.04322	4791.4650	1.04322	4670.4080	1.04322	4756.4240	1.04322	4751.7210	1.04322	4725.2510	1.04322	4726.3680	1.04322	4717.9520	1.04322	4884.3860	1.04322	4336.3510	1.04322	4509.2170	1.04322	4602.9090	1.04322	4714.5190	1.04322	4797.3510	
1.11773	5022.4480	1.11773	4826.5340	1.11773	4805.0730	1.11773	4673.3740	1.11773	4765.7760	1.11773	4767.5160	1.11773	4737.6510	1.11773	4737.0610	1.11773	4712.3700	1.11773	4913.5920	1.11773	4355.0220	1.11773	4498.0620	1.11773	4605.5350	1.11773	4722.5360	1.11773	4794.7650	1.11773	5015.3640	1.11773	4814.2220	1.11773	4786.5900	1.11773	4663.3030	1.11773	4760.4410	1.11773	4755.6490	1.11773	4721.4240	1.11773	4738.6140	1.11773	4718.8190	1.11773	4892.3850	1.11773	4354.3190	1.11773	4500.3650	1.11773	4596.8030	1.11773	4709.8460	1.11773	4797.5930	1.11773	5002.0160	1.11773	4819.5390	1.11773	4786.3570	1.11773	4656.7380	1.11773	4751.9360	1.11773	4762.0480	1.11773	4733.3840	1.11773	4740.0030	1.11773	4719.1800	1.11773	4891.9530	1.11773	4352.2150	1.11773	4499.1080	1.11773	4598.3200	1.11773	4713.1750	1.11773	4791.2900	
1.19225	5013.1170	1.19225	4809.7460	1.19225	4801.6820	1.19225	4670.0870	1.19225	4766.1240	1.19225	4756.7340	1.19225	4723.9750	1.19225	4735.0760	1.19225	4735.0200	1.19225	4891.9200	1.19225	4370.5310	1.19225	4499.4620	1.19225	4593.0830	1.19225	4708.8410	1.19225	4787.3910	1.19225	5010.1430	1.19225	4818.3440	1.19225	4790.6400	1.19225	4660.6960	1.19225	4760.1070	1.19225	4761.3650	1.19225	4717.1060	1.19225	4724.9820	1.19225	4729.3960	1.19225	4898.7900	1.19225	4366.9370	1.19225	4519.7370	1.19225	4591.0150	1.19225	4712.9180	1.19225	4792.5320	1.19225	4995.4890	1.19225	4820.2370	1.19225	4794.5290	1.19225	4667.8540	1.19225	4758.2150	1.19225	4769.9450	1.19225	4727.4500	1.19225	4719.8530	1.19225	4714.4350	1.19225	4885.8790	1.19225	4353.9350	1.19225	4495.5400	1.19225	4601.7110	1.19225	4717.6360	1.19225	4781.1810	
1.26677	5006.5160	1.26677	4822.7160	1.26677	4802.3370	1.26677	4679.6860	1.26677	4771.6740	1.26677	4770.1090	1.26677	4733.1990	1.26677	4732.4450	1.26677	4720.3300	1.26677	4898.4650	1.26677	4347.1630	1.26677	4520.4010	1.26677	4594.4150	1.26677	4715.3560	1.26677	4785.1470	1.26677	5002.9870	1.26677	4824.6470	1.26677	4789.4810	1.26677	4662.3140	1.26677	4753.0440	1.26677	4764.3330	1.26677	4733.5590	1.26677	4741.0580	1.26677	4718.1220	1.26677	4902.2500	1.26677	4360.1990	1.26677	4497.1290	1.26677	4596.1170	1.26677	4710.7670	1.26677	4795.5190	1.26677	5002.5460	1.26677	4814.5350	1.26677	4786.4500	1.26677	4662.6210	1.26677	4754.6920	1.26677	4749.9980	1.26677	4722.2500	1.26677	4728.2640	1.26677	4713.1360	1.26677	4889.5750	1.26677	4348.5610	1.26677	4501.4410	1.26677	4593.6730	1.26677	4713.4190	1.26677	4797.4470	
1.34128	5004.7790	1.34128	4820.8680	1.34128	4807.0670	1.34128	4666.9480	1.34128	4768.7680	1.34128	4768.8480	1.34128	4730.8650	1.34128	4730.9040	1.34128	4712.2510	1.34128	4907.3870	1.34128	4369.5360	1.34128	4495.2210	1.34128	4595.5480	1.34128	4713.8210	1.34128	4799.2320	1.34128	5002.6450	1.34128	4821.8940	1.34128	4785.9640	1.34128	4669.7970	1.34128	4763.2870	1.34128	4764.8070	1.34128	4715.4960	1.34128	4724.7590	1.34128	4722.7380	1.34128	4904.8840	1.34128	4354.6590	1.34128	4495.5370	1.34128	4596.0430	1.34128	4716.0570	1.34128	4781.1900	1.34128	5007.0790	1.34128	4817.5360	1.34128	4785.4870	1.34128	4667.6010	1.34128	4757.8100	1.34128	4753.9710	1.34128	4726.1000	1.34128	4726.5350	1.34128	4725.2360	1.34128	4873.1120	1.34128	4347.2950	1.34128	4516.2560	1.34128	4595.9410	1.34128	4717.2580	1.34128	4788.8040	
1.41580	5023.9860	1.41580	4822.0310	1.41580	4806.3870	1.41580	4671.4510	1.41580	4770.1570	1.41580	4756.7100	1.41580	4731.6550	1.41580	4734.6410	1.41580	4720.9320	1.41580	4900.0530	1.41580	4364.1180	1.41580	4495.1230	1.41580	4596.5700	1.41580	4722.1330	1.41580	4791.7520	1.41580	4995.3520	1.41580	4821.1540	1.41580	4784.1640	1.41580	4661.4800	1.41580	4757.2430	1.41580	4757.0740	1.41580	4707.3870	1.41580	4724.2110	1.41580	4721.9780	1.41580	4883.8470	1.41580	4358.5240	1.41580	4505.4020	1.41580	4579.8660	1.41580	4715.3860	1.41580	4789.8140	1.41580	4993.1620	1.41580	4823.1900	1.41580	4795.9830	1.41580	4660.8570	1.41580	4764.8280	1.41580	4757.4130	1.41580	4721.1770	1.41580	4716.2120	1.41580	4734.6440	1.41580	4897.1470	1.41580	4357.5470	1.41580	4487.7770	1.41580	4582.6260	1.41580	4717.2490	1.41580	4798.6180	
1.49031	5008.3460	1.49031	4813.5880	1.49031	4796.2250	1.49031	4667.5770	1.49031	4756.2060	1.49031	4764.1130	1.49031	4728.8510	1.49031	4721.0430	1.49031	4721.3610	1.49031	4902.2260	1.49031	4365.6230	1.49031	4517.8000	1.49031	4594.6030	1.49031	4711.0740	1.49031	4795.5690	1.49031	5009.5050	1.49031	4819.8040	1.49031	4768.2400	1.49031	4653.6450	1.49031	4755.9170	1.49031	4774.8000	1.49031	4728.6330	1.49031	4724.1960	1.49031	4719.6300	1.49031	4886.4100	1.49031	4359.3700	1.49031	4504.9370	1.49031	4594.0730	1.49031	4723.3130	1.49031	4796.1890	1.49031	4996.2970	1.49031	4819.8310	1.49031	4790.5420	1.49031	4669.4490	1.49031	4751.6520	1.49031	4760.6590	1.49031	4717.6510	1.49031	4721.6560	1.49031	4723.7370	1.49031	4890.3910	1.49031	4347.2350	1.49031	4503.3840	1.49031	4585.2210	1.49031	4708.8210	1.49031	4781.8120	
1.56483	5014.7000	1.56483	4820.3710	1.56483	4802.7600	1.56483	4675.7610	1.56483	4766.3720	1.56483	4769.5790	1.56483	4736.7130	1.56483	4721.4330	1.56483	4716.7900	1.56483	4897.7850	1.56483	4360.6040	1.56483	4505.8850	1.56483	4594.0430	1.56483	4715.9190	1.56483	4793.2120	1.56483	5006.4270	1.56483	4813.3220	1.56483	4794.1120	1.56483	4666.2420	1.56483	4748.0970	1.56483	4759.3710	1.56483	4724.8570	1.56483	4727.9630	1.56483	4720.0860	1.56483	4892.1260	1.56483	4360.5860	1.56483	4499.4920	1.56483	4590.6220	1.56483	4700.0770	1.56483	4786.3930	1.56483	5001.4380	1.56483	4811.8920	1.56483	4801.6280	1.56483	4661.0270	1.56483	4764.4410	1.56483	4757.4790	1.56483	4718.8850	1.56483	4717.5620	1.56483	4707.0560	1.56483	4882.5320	1.56483	4351.8250	1.56483	4498.4310	1.56483	4590.3410	1.56483	4704.0160	1.56483	4783.0100	
