carat,cut,color,clarity,depth,table,price,x,y,z
0.23,Very Good,D,VS2,60.5,61,357,3.96,3.97,2.4
0.23,Very Good,D,VS1,61.9,58,402,3.92,3.96,2.44
0.26,Very Good,D,VS2,60.8,59,403,4.13,4.16,2.52
0.26,Good,D,VS2,65.2,56,403,3.99,4.02,2.61
0.26,Good,D,VS1,58.4,63,403,4.19,4.24,2.46
0.22,Premium,D,VS2,59.3,62,404,3.91,3.88,2.31
0.3,Premium,D,SI1,62.6,59,552,4.23,4.27,2.66
0.3,Ideal,D,SI1,62.5,57,552,4.29,4.32,2.69
0.3,Ideal,D,SI1,62.1,56,552,4.3,4.33,2.68
0.24,Very Good,D,VVS1,61.5,60,553,3.97,4,2.45
0.26,Very Good,D,VVS2,62.4,54,554,4.08,4.13,2.56
0.26,Very Good,D,VVS2,62.8,60,554,4.01,4.05,2.53
0.26,Very Good,D,VVS1,62.1,60,554,4.03,4.12,2.53
0.75,Very Good,D,SI1,63.2,56,2760,5.8,5.75,3.65
0.71,Ideal,D,SI2,62.3,56,2762,5.73,5.69,3.56
0.61,Very Good,D,VVS2,59.6,57,2763,5.56,5.58,3.32
0.71,Very Good,D,SI1,63.6,58,2764,5.64,5.68,3.6
0.71,Ideal,D,SI1,61.9,59,2764,5.69,5.72,3.53
0.7,Very Good,D,VS2,61.8,55,2767,5.68,5.72,3.52
0.71,Ideal,D,SI2,61.6,55,2767,5.74,5.76,3.54
0.73,Very Good,D,SI1,60.2,56,2768,5.83,5.87,3.52
0.7,Very Good,D,SI1,61.1,58,2768,5.66,5.73,3.48
0.71,Premium,D,SI2,61.7,59,2768,5.71,5.67,3.51
0.71,Premium,D,VS2,62.5,60,2770,5.65,5.61,3.52
0.76,Ideal,D,SI2,62.4,57,2770,5.78,5.83,3.62
0.73,Ideal,D,SI2,59.9,57,2770,5.92,5.89,3.54
0.75,Ideal,D,SI2,61.3,56,2773,5.85,5.89,3.6
0.7,Premium,D,VS2,58,62,2773,5.87,5.78,3.38
0.7,Very Good,D,VS1,62.7,58,2777,5.66,5.73,3.57
0.53,Very Good,D,VVS2,57.5,64,2782,5.34,5.37,3.08
0.75,Very Good,D,SI2,63.1,58,2782,5.78,5.73,3.63
0.72,Ideal,D,SI1,60.8,57,2782,5.76,5.75,3.5
0.72,Premium,D,SI1,62.7,59,2782,5.73,5.69,3.58
0.7,Premium,D,SI1,62.8,60,2782,5.68,5.66,3.56
