carat,cut,color,clarity,depth,table,price,x,y,z
0.23,Ideal,E,SI2,61.5,55,326,3.95,3.98,2.43
0.21,Premium,E,SI1,59.8,61,326,3.89,3.84,2.31
0.23,Good,E,VS1,56.9,65,327,4.05,4.07,2.31
0.22,Fair,E,VS2,65.1,61,337,3.87,3.78,2.49
0.2,Premium,E,SI2,60.2,62,345,3.79,3.75,2.27
0.32,Premium,E,I1,60.9,58,345,4.38,4.42,2.68
0.23,Very Good,E,VS2,63.8,55,352,3.85,3.92,2.48
0.23,Very Good,E,VS1,60.7,59,402,3.97,4.01,2.42
0.23,Very Good,E,VS1,59.5,58,402,4.01,4.06,2.4
0.23,Good,E,VS1,64.1,59,402,3.83,3.85,2.46
0.25,Very Good,E,VS2,63.3,60,404,4,4.03,2.54
0.22,Premium,E,VS2,61.6,58,404,3.93,3.89,2.41
0.24,Premium,E,VVS1,60.7,58,553,4.01,4.03,2.44
0.26,Very Good,E,VVS2,59.9,58,554,4.15,4.23,2.51
0.26,Very Good,E,VVS1,62.6,59,554,4.06,4.09,2.55
0.26,Very Good,E,VVS1,63.4,59,554,4,4.04,2.55
0.26,Ideal,E,VVS2,62.9,58,554,4.02,4.06,2.54
0.26,Good,E,VVS1,57.9,60,554,4.22,4.25,2.45
0.7,Ideal,E,SI1,62.5,57,2757,5.7,5.72,3.57
0.86,Fair,E,SI2,55.1,69,2757,6.45,6.33,3.52
0.71,Very Good,E,VS2,62.4,57,2759,5.68,5.73,3.56
0.7,Good,E,VS2,57.5,58,2759,5.85,5.9,3.38
0.73,Very Good,E,SI1,61.6,59,2760,5.77,5.78,3.56
0.75,Premium,E,SI1,59.9,54,2760,6,5.96,3.58
0.59,Ideal,E,VVS2,62,55,2761,5.38,5.43,3.35
0.74,Ideal,E,SI2,62.2,56,2761,5.8,5.84,3.62
0.7,Ideal,E,VS2,60.7,58,2762,5.73,5.76,3.49
0.74,Ideal,E,SI1,62.3,54,2762,5.8,5.83,3.62
0.7,Very Good,E,VS2,62.6,60,2765,5.62,5.65,3.53
0.63,Premium,E,VVS1,60.9,60,2765,5.52,5.55,3.37
0.7,Ideal,E,SI1,60.9,57,2768,5.73,5.76,3.5
0.71,Good,E,VS2,59.2,61,2772,5.8,5.88,3.46
0.6,Ideal,E,VS1,61.7,55,2774,5.41,5.44,3.35
0.7,Ideal,E,SI1,62.7,55,2774,5.68,5.74,3.58
0.71,Premium,E,VS2,62.7,58,2776,5.74,5.68,3.58
0.71,Ideal,E,VS2,62.2,57,2776,5.79,5.62,3.55
0.54,Ideal,E,VVS2,61.6,56,2776,5.25,5.27,3.24
0.54,Ideal,E,VVS2,61.5,57,2776,5.24,5.26,3.23
0.7,Ideal,E,VS2,62.1,55,2777,5.7,5.67,3.53
0.7,Premium,E,VS2,61.1,60,2777,5.71,5.64,3.47
0.7,Premium,E,SI1,60,59,2777,5.79,5.75,3.46
0.7,Premium,E,SI1,61.2,57,2777,5.73,5.68,3.49
0.7,Premium,E,SI1,62.7,59,2777,5.67,5.63,3.54
0.7,Premium,E,SI1,61,57,2777,5.73,5.68,3.48
0.7,Premium,E,SI1,61,58,2777,5.78,5.72,3.51
0.7,Ideal,E,SI1,61.4,57,2777,5.76,5.7,3.52
0.7,Very Good,E,SI1,59.9,63,2777,5.76,5.7,3.43
0.7,Premium,E,SI1,61.3,58,2777,5.71,5.68,3.49
0.7,Premium,E,SI1,60.5,58,2777,5.77,5.74,3.48
0.7,Good,E,VS2,64.1,59,2777,5.64,5.59,3.6
0.7,Very Good,E,SI1,63.2,60,2777,5.6,5.51,3.51
0.74,Ideal,E,SI1,61.7,56,2779,5.84,5.8,3.59
0.7,Good,E,VS1,57.2,62,2782,5.81,5.77,3.31
0.7,Premium,E,VS1,62.9,60,2782,5.62,5.54,3.51
1.01,Fair,E,I1,64.5,58,2788,6.29,6.21,4.03
0.76,Good,E,SI1,63.7,54,2789,5.76,5.85,3.7
0.76,Premium,E,SI1,60.4,58,2789,5.92,5.94,3.58
0.76,Premium,E,SI1,61.8,58,2789,5.82,5.86,3.61
0.7,Ideal,E,SI1,61.6,56,2789,5.72,5.75,3.53
0.63,Premium,E,VVS2,62.1,57,2789,5.48,5.41,3.38
0.63,Premium,E,VVS1,60.9,60,2789,5.55,5.52,3.37
0.73,Ideal,E,SI1,62.2,56,2791,5.74,5.78,3.58
0.71,Premium,E,SI1,59.2,59,2792,5.83,5.86,3.46
0.71,Premium,E,SI1,61.8,59,2792,5.7,5.75,3.54
0.71,Ideal,E,SI1,61.3,55,2792,5.72,5.77,3.52
0.7,Very Good,E,VS2,62.9,57,2793,5.66,5.69,3.57
0.7,Good,E,VS2,64.1,55,2793,5.6,5.66,3.61
0.79,Very Good,E,SI1,63.2,56,2794,5.91,5.86,3.72
0.71,Very Good,E,VS2,60.7,56,2795,5.81,5.82,3.53
0.73,Good,E,SI1,63.2,58,2796,5.7,5.76,3.62
0.81,Very Good,E,SI1,60.3,60,2797,6.07,6.1,3.67
1.01,Fair,E,SI2,67.4,60,2797,6.19,6.05,4.13
0.83,Very Good,E,SI2,58,62,2799,6.19,6.25,3.61
0.7,Premium,E,VS1,62.2,58,2800,5.6,5.66,3.5
0.72,Premium,E,VS2,63,55,2802,5.79,5.61,3.59
0.74,Very Good,E,SI1,63.5,56,2803,5.74,5.79,3.66
0.73,Ideal,E,SI1,60.6,54,2803,5.84,5.89,3.55
0.71,Very Good,E,VS2,63.8,58,2804,5.62,5.66,3.6
0.71,Very Good,E,VS2,64,57,2804,5.66,5.68,3.63
0.8,Very Good,E,SI2,62.5,56,2804,5.88,5.96,3.7
0.73,Ideal,E,SI2,61.8,58,2805,5.77,5.81,3.58
0.57,Fair,E,VVS1,58.7,66,2805,5.34,5.43,3.16
0.58,Ideal,E,VVS2,60.9,56,2808,5.41,5.43,3.3
0.7,Good,E,SI1,63.5,59,2812,5.49,5.53,3.5
0.29,Very Good,E,VS1,61.9,55,555,4.28,4.33,2.66
0.29,Very Good,E,VS1,62.4,55,555,4.2,4.25,2.63
0.43,Very Good,E,I1,58.4,62,555,4.94,5,2.9
0.26,Ideal,E,VS1,61.5,57,556,4.09,4.12,2.52
0.73,Premium,E,VS2,58.6,60,2812,5.92,5.89,3.46
0.84,Very Good,E,SI1,63.4,55,2813,6,5.95,3.79
0.76,Premium,E,SI1,62.2,59,2814,5.86,5.81,3.63
0.76,Ideal,E,SI1,61.7,57,2814,5.88,5.85,3.62
0.75,Premium,E,SI1,61.1,59,2814,5.86,5.83,3.57
0.72,Premium,E,VS2,58.3,58,2815,5.99,5.92,3.47
0.96,Fair,E,SI2,53.1,63,2815,6.73,6.65,3.55
0.71,Premium,E,SI1,61.3,56,2817,5.78,5.73,3.53
0.71,Ideal,E,VS2,62.7,57,2817,5.66,5.64,3.54
0.71,Premium,E,VS2,62.3,58,2817,5.69,5.65,3.53
0.71,Premium,E,SI1,59.2,59,2817,5.86,5.83,3.46
0.71,Premium,E,SI1,61.8,59,2817,5.75,5.7,3.54
0.71,Ideal,E,SI1,61.3,55,2817,5.77,5.72,3.52
0.71,Premium,E,SI1,61.4,58,2817,5.77,5.73,3.53
0.71,Good,E,SI1,62.8,64,2817,5.6,5.54,3.5
0.7,Premium,E,VS2,62.4,61,2818,5.66,5.63,3.52
0.7,Premium,E,VS2,59.3,60,2818,5.78,5.73,3.41
0.7,Premium,E,VS2,63,60,2818,5.64,5.6,3.54
0.7,Ideal,E,VS1,62.9,57,2818,5.66,5.61,3.54
0.7,Premium,E,VS1,59.6,57,2818,5.91,5.83,3.5
0.7,Premium,E,VS1,62.7,57,2818,5.68,5.64,3.55
0.75,Ideal,E,SI1,62,57,2821,5.8,5.78,3.59
0.73,Premium,E,VS2,61.6,59,2821,5.77,5.73,3.54
0.53,Ideal,E,VVS1,61.9,55,2821,5.2,5.21,3.22
0.73,Premium,E,SI1,61.3,58,2821,5.83,5.76,3.55
0.73,Good,E,SI1,63.6,57,2821,5.72,5.7,3.63
0.73,Premium,E,SI1,59.6,61,2821,5.92,5.85,3.51
0.73,Premium,E,SI1,62.2,59,2821,5.77,5.68,3.56
0.73,Very Good,E,SI1,63.2,58,2821,5.76,5.7,3.62
0.7,Premium,E,VS1,60.8,60,2822,5.74,5.71,3.48
0.72,Premium,E,VS2,60.3,59,2822,5.84,5.8,3.51
0.72,Premium,E,VS2,60.9,60,2822,5.8,5.76,3.52
0.72,Premium,E,VS2,62.4,59,2822,5.77,5.7,3.58
0.7,Premium,E,VS2,60.2,60,2822,5.73,5.7,3.44
0.7,Premium,E,VS2,61.5,59,2822,5.73,5.68,3.51
0.7,Premium,E,VS2,62.6,56,2822,5.71,5.66,3.56
0.7,Good,E,SI1,61.4,64,2822,5.71,5.66,3.49
0.7,Premium,E,VS2,60.7,62,2822,5.72,5.68,3.46
0.71,Premium,E,VS2,62.3,58,2823,5.71,5.66,3.54
0.61,Ideal,E,VVS2,61.3,54,2823,5.51,5.59,3.4
0.71,Ideal,E,SI1,60.5,56,2823,5.77,5.73,3.47
0.74,Good,E,VS1,63.1,58,2824,5.73,5.75,3.62
0.82,Premium,E,SI2,60.8,60,2824,6.05,6.03,3.67
0.73,Premium,E,VS1,62.6,60,2826,5.75,5.68,3.58
0.7,Good,E,VS1,57.2,59,2826,5.94,5.88,3.38
0.7,Premium,E,VS1,62.2,58,2826,5.66,5.6,3.5
0.7,Premium,E,VS1,59.4,61,2826,5.78,5.74,3.42
0.8,Good,E,SI2,63.7,54,2829,5.91,5.87,3.75
0.59,Ideal,E,VVS1,62,56,2829,5.36,5.38,3.33
0.75,Premium,E,SI2,61.9,57,2829,5.88,5.82,3.62
0.8,Premium,E,SI2,60.2,57,2829,6.05,6.01,3.63
0.71,Very Good,E,VS2,62.7,59,2830,5.65,5.7,3.56
0.76,Very Good,E,SI2,60.8,60,2831,5.89,5.98,3.61
0.72,Ideal,E,SI1,62.3,57,2831,5.7,5.76,3.57
0.75,Ideal,E,SI1,61.4,57,2831,5.82,5.87,3.59
0.72,Premium,E,SI1,62.1,58,2831,5.73,5.76,3.57
0.56,Very Good,E,IF,61,59,2833,5.28,5.34,3.24
0.77,Ideal,E,SI2,60.7,55,2834,6.01,5.95,3.63
0.7,Ideal,E,VS2,61.5,54,2835,5.7,5.75,3.52
0.72,Ideal,E,VS2,62.8,57,2835,5.71,5.73,3.59
0.72,Ideal,E,SI1,61,57,2835,5.78,5.8,3.53
0.71,Good,E,VS2,62.8,60,2836,5.6,5.65,3.53
0.7,Premium,E,VS1,62.6,59,2837,5.69,5.66,3.55
0.7,Ideal,E,VS1,61.8,56,2837,5.74,5.69,3.53
0.7,Very Good,E,SI1,63.5,59,2838,5.53,5.49,3.5
0.74,Very Good,E,SI1,60,57,2839,5.85,5.89,3.52
0.7,Ideal,E,VS2,62.1,54,2839,5.69,5.72,3.54
0.7,Very Good,E,VS2,60.2,62,2843,5.71,5.75,3.45
0.7,Very Good,E,VS2,62.7,58,2843,5.65,5.67,3.55
0.71,Very Good,E,VS2,59.4,58,2843,5.76,5.82,3.44
0.72,Ideal,E,VS2,62,57,2843,5.71,5.74,3.55
0.73,Very Good,E,SI1,57.7,61,2844,5.92,5.96,3.43
0.7,Very Good,E,VS1,62,59,2844,5.65,5.68,3.51
0.7,Very Good,E,VS2,61.8,59,2845,5.65,5.68,3.5
0.7,Very Good,E,VS2,58.9,60,2845,5.83,5.85,3.44
0.73,Ideal,E,SI1,59.1,59,2846,5.92,5.95,3.51
0.7,Ideal,E,SI1,61.6,57,2846,5.71,5.76,3.53
0.77,Premium,E,SI1,62.9,59,2846,5.84,5.79,3.66
0.72,Ideal,E,SI1,60.3,57,2847,5.83,5.85,3.52
0.79,Good,E,SI1,64.1,54,2849,5.86,5.84,3.75
0.74,Very Good,E,VS1,63.1,58,2849,5.75,5.73,3.62
0.7,Very Good,E,VS2,61,60,2850,5.74,5.77,3.51
0.58,Very Good,E,IF,60.6,59,2852,5.37,5.43,3.27
0.73,Ideal,E,SI1,62.7,55,2852,5.7,5.79,3.6
0.71,Premium,E,SI1,62.7,58,2853,5.73,5.66,3.57
0.7,Very Good,E,VS1,62.4,56,2854,5.64,5.7,3.54
0.73,Premium,E,VS2,62,57,2854,5.86,5.76,3.6
0.7,Premium,E,VS1,58.4,59,2854,5.91,5.83,3.43
0.98,Fair,E,SI2,53.3,67,2855,6.82,6.74,3.61
0.26,Ideal,E,VS1,62.3,57,556,4.05,4.08,2.53
0.26,Ideal,E,VS1,62.1,56,556,4.09,4.12,2.55
0.34,Good,E,SI1,63.3,57,556,4.44,4.47,2.82
0.34,Good,E,SI1,63.5,55,556,4.44,4.47,2.83
0.34,Good,E,SI1,63.4,55,556,4.44,4.46,2.82
0.34,Ideal,E,SI1,62.2,54,556,4.47,4.5,2.79
0.32,Good,E,VS2,64.1,54,556,4.34,4.37,2.79
0.7,Good,E,VVS2,60.1,63,2857,5.68,5.71,3.42
0.72,Ideal,E,SI1,62.3,57,2857,5.76,5.7,3.57
0.72,Premium,E,SI1,62.1,58,2857,5.76,5.73,3.57
0.71,Premium,E,VS2,61,60,2858,5.76,5.69,3.49
0.7,Premium,E,VS2,61.4,59,2858,5.73,5.7,3.51
0.71,Premium,E,VS2,61.5,60,2858,5.76,5.68,3.52
0.71,Very Good,E,VS2,63.5,59,2858,5.68,5.59,3.58
0.76,Ideal,E,SI1,62.7,54,2858,5.88,5.83,3.67
0.7,Good,E,VVS2,63.6,62,2858,5.61,5.58,3.56
0.83,Premium,E,SI2,59.2,60,2859,6.17,6.12,3.64
0.6,Ideal,E,VVS2,61.9,54.9,2860,5.41,5.44,3.35
0.82,Premium,E,SI2,61.7,59,2861,6.01,5.98,3.7
0.7,Very Good,E,VS2,58.7,63,2862,5.73,5.69,3.35
0.7,Premium,E,VS2,59.5,59,2862,5.82,5.77,3.45
1.22,Premium,E,I1,60.9,57,2862,6.93,6.88,4.21
1.01,Fair,E,SI2,67.6,57,2862,6.21,6.11,4.18
0.73,Premium,E,VS2,62.5,61,2862,5.78,5.64,3.59
0.71,Premium,E,SI1,59.1,61,2863,5.84,5.8,3.44
0.72,Premium,E,SI1,60.9,60,2863,5.78,5.74,3.51
0.71,Ideal,E,VS2,61,55,2863,5.79,5.75,3.52
0.81,Ideal,E,SI2,60.3,57,2864,6.07,6.04,3.65
0.71,Ideal,E,VS1,62.2,55,2866,5.74,5.7,3.56
0.79,Premium,E,SI2,61,58,2868,5.96,5.9,3.62
0.75,Very Good,E,SI1,63.1,56,2868,5.78,5.7,3.62
0.72,Ideal,E,SI1,60.8,55,2869,5.77,5.84,3.53
0.83,Ideal,E,SI2,62.2,57,2870,6,6.05,3.75
0.64,Premium,E,VVS2,62.1,58,2870,5.56,5.51,3.44
0.73,Premium,E,VS1,61.3,59,2870,5.81,5.78,3.55
0.73,Very Good,E,SI1,61.3,58,2871,5.76,5.83,3.55
0.73,Good,E,SI1,63.6,57,2871,5.7,5.72,3.63
0.7,Good,E,SI1,61.4,64,2872,5.66,5.71,3.49
0.72,Very Good,E,VS2,58.3,57,2872,5.89,5.94,3.45
0.74,Ideal,E,SI1,62.3,58,2872,5.74,5.78,3.59
0.77,Very Good,E,SI1,63.2,58,2873,5.8,5.84,3.68
0.76,Ideal,E,SI2,62.8,56,2873,5.78,5.82,3.64
0.73,Premium,E,VS1,62.6,60,2876,5.68,5.75,3.58
0.79,Premium,E,VS2,60.6,53,2876,6.04,5.98,3.64
0.71,Ideal,E,VS1,62.4,56,2877,5.75,5.7,3.57
0.63,Premium,E,IF,60.3,62,2879,5.55,5.53,3.34
0.71,Very Good,E,VS2,60,59,2881,5.84,5.83,3.5
0.8,Fair,E,SI1,56.3,63,2885,6.22,6.14,3.48
0.73,Ideal,E,SI1,61.4,56,2886,5.79,5.81,3.56
0.72,Ideal,E,SI1,62.7,55,2886,5.64,5.69,3.55
0.7,Premium,E,VS1,62.6,59,2887,5.66,5.69,3.55
0.7,Very Good,E,VS2,63.5,54,2889,5.62,5.66,3.58
0.5,Ideal,E,VVS2,62.2,54,2889,5.08,5.12,3.17
0.5,Ideal,E,VVS2,62.2,54,2889,5.09,5.11,3.17
0.77,Premium,E,SI1,59.8,61,2889,5.99,5.95,3.57
0.71,Very Good,E,VS2,61.2,58,2891,5.71,5.79,3.52
0.71,Ideal,E,VS2,61.6,56,2891,5.74,5.76,3.54
0.71,Ideal,E,VS2,62.7,56,2891,5.71,5.75,3.59
0.81,Very Good,E,SI2,62.4,57,2894,5.91,5.99,3.71
0.73,Ideal,E,SI2,61.5,55,2896,5.82,5.86,3.59
0.77,Premium,E,SI1,60.9,58,2896,5.94,5.88,3.6
0.76,Premium,E,SI1,61.1,58,2897,5.91,5.85,3.59
0.72,Ideal,E,SI1,62.5,55,2897,5.69,5.74,3.57
0.81,Ideal,E,SI2,63,56,2901,5.95,5.9,3.73
0.81,Premium,E,SI2,62.5,59,2901,5.97,5.9,3.71
0.74,Ideal,E,VS2,61.9,57,2901,5.81,5.78,3.59
0.73,Premium,E,VS2,62,60,2902,5.76,5.73,3.56
0.73,Ideal,E,VS2,61.4,55,2902,5.82,5.8,3.57
0.71,Fair,E,VS2,64.6,59,2902,5.62,5.59,3.62
0.71,Premium,E,VS2,59.6,60,2902,5.85,5.8,3.47
0.72,Premium,E,VS2,61.1,59,2903,5.8,5.75,3.53
0.7,Very Good,E,VS1,58.4,59,2904,5.83,5.91,3.43
0.62,Ideal,E,VVS2,62,56,2904,5.48,5.52,3.41
0.74,Good,E,SI1,62.8,61,2906,5.74,5.76,3.61
0.61,Ideal,E,VVS2,62.4,53.9,2907,5.42,5.43,3.38
0.61,Ideal,E,VVS2,62.4,53.6,2907,5.42,5.45,3.39
0.61,Ideal,E,VVS2,62.1,54.2,2907,5.43,5.45,3.38
0.72,Ideal,E,SI1,62.6,56,2907,5.7,5.73,3.58
0.25,Premium,E,VS1,60.7,59,558,4.13,4.11,2.5
0.25,Premium,E,VS1,61.5,60,558,4.04,4.02,2.48
0.31,Ideal,E,SI2,61.7,56,558,4.4,4.35,2.7
0.31,Ideal,E,SI2,60.1,57,558,4.44,4.41,2.66
0.31,Ideal,E,SI2,61.3,55,558,4.37,4.34,2.67
0.31,Premium,E,SI2,60.9,60,558,4.38,4.35,2.66
0.59,Ideal,E,VVS2,61.1,57,2911,5.39,5.41,3.3
0.73,Good,E,VS2,64.2,54,2912,5.68,5.72,3.66
0.7,Good,E,VS2,58.7,63,2912,5.69,5.73,3.35
0.73,Good,E,VS2,63.2,56,2912,5.75,5.76,3.64
0.8,Premium,E,SI1,61.2,60,2912,5.97,5.95,3.65
0.83,Premium,E,SI1,62.2,59,2913,6.05,5.97,3.74
0.73,Ideal,E,SI1,61.4,58,2914,5.76,5.8,3.55
0.7,Ideal,E,VS2,62.5,58,2917,5.63,5.67,3.53
0.71,Premium,E,VS1,59.7,57,2920,5.87,5.78,3.48
0.71,Very Good,E,VS2,59.9,59,2921,5.77,5.81,3.47
0.71,Very Good,E,VS2,60.7,60,2921,5.75,5.78,3.5
0.71,Very Good,E,VS2,63.7,58,2922,5.6,5.64,3.58
0.71,Very Good,E,VS2,63.3,59,2922,5.62,5.66,3.57
0.72,Very Good,E,VS2,63,57,2923,5.69,5.73,3.6
0.72,Very Good,E,VS2,63.2,58,2923,5.67,5.72,3.6
0.7,Very Good,E,SI1,61.8,59,2923,5.63,5.69,3.5
0.75,Very Good,E,SI1,62.3,58,2923,5.78,5.81,3.61
0.75,Very Good,E,SI1,61.5,58,2923,5.82,5.86,3.59
0.71,Ideal,E,VS1,62.4,54,2923,5.71,5.74,3.57
0.75,Good,E,SI1,58.3,60,2923,5.94,5.99,3.48
0.51,Very Good,E,IF,63.3,58,2925,5.03,5.08,3.2
0.74,Very Good,E,SI1,61,58,2929,5.82,5.85,3.56
0.7,Ideal,E,SI1,60.1,57,2929,5.78,5.83,3.49
0.71,Very Good,E,VS2,61.3,60,2930,5.74,5.71,3.51
0.7,Premium,E,VS1,60.3,58,2930,5.7,5.74,3.45
0.7,Ideal,E,VS1,62.3,54,2930,5.67,5.72,3.55
0.9,Very Good,E,SI2,58.7,63,2930,6.23,6.2,3.65
0.9,Fair,E,SI2,65,58,2930,6.08,6.04,3.94
0.82,Ideal,E,SI2,62.1,56,2937,6.01,5.98,3.72
0.76,Premium,E,SI1,58.3,62,2937,6.12,5.95,3.52
0.81,Ideal,E,SI2,60.2,57,2938,6.1,6.06,3.66
0.8,Ideal,E,SI2,60.8,56,2939,6.02,6.01,3.66
0.72,Ideal,E,SI2,62.4,57,2939,5.71,5.74,3.57
0.8,Premium,E,SI2,59.9,58,2939,6.03,5.96,3.59
0.75,Fair,E,VS2,56,67,2940,6.18,6.08,3.43
0.75,Ideal,E,VS2,61.6,57,2940,5.84,5.81,3.59
0.7,Ideal,E,VS2,61.5,56,2940,5.73,5.68,3.51
0.79,Very Good,E,SI2,59.2,59,2941,6.04,6.06,3.58
