carat,cut,color,clarity,depth,table,price,x,y,z
0.22,Premium,F,SI1,60.4,61,342,3.88,3.84,2.33
0.23,Very Good,F,VS1,60.9,57,357,3.96,3.99,2.42
0.23,Very Good,F,VS1,60,57,402,4,4.03,2.41
0.23,Very Good,F,VS1,59.8,57,402,4.04,4.06,2.42
0.23,Good,F,VS1,58.2,59,402,4.06,4.08,2.37
0.29,Premium,F,SI1,62.4,58,403,4.24,4.26,2.65
0.24,Very Good,F,SI1,60.9,61,404,4.02,4.03,2.45
0.26,Very Good,F,VVS2,59.2,60,554,4.19,4.22,2.49
0.7,Good,F,VS1,59.4,62,2759,5.71,5.76,3.4
0.96,Fair,F,SI2,66.3,62,2759,6.27,5.95,4.07
0.81,Ideal,F,SI2,58.8,57,2761,6.14,6.11,3.6
0.8,Ideal,F,SI2,61.4,57,2761,5.96,6,3.67
0.73,Ideal,F,VS2,62.6,56,2762,5.77,5.74,3.6
0.73,Ideal,F,VS2,62.7,53,2762,5.8,5.75,3.62
0.8,Premium,F,SI2,61.7,58,2762,5.98,5.94,3.68
0.8,Ideal,F,SI2,59.9,59,2762,6.01,6.07,3.62
0.7,Very Good,F,VS2,61.7,63,2762,5.64,5.61,3.47
0.7,Fair,F,VS2,64.5,57,2762,5.57,5.53,3.58
0.7,Fair,F,VS2,65.3,55,2762,5.63,5.58,3.66
0.7,Premium,F,VS2,61.6,60,2762,5.65,5.59,3.46
0.71,Very Good,F,VS1,60.1,62,2765,5.74,5.77,3.46
0.71,Premium,F,VS1,61.8,59,2765,5.69,5.73,3.53
0.7,Very Good,F,VS1,60,57,2767,5.8,5.87,3.5
0.76,Very Good,F,SI1,62.9,57,2770,5.79,5.81,3.65
0.71,Ideal,F,SI1,60.7,56,2770,5.77,5.8,3.51
0.73,Very Good,F,SI1,61.7,60,2771,5.79,5.82,3.58
0.79,Ideal,F,SI2,61.9,55,2771,5.97,5.92,3.68
0.8,Very Good,F,SI2,61,57,2772,6.01,6.03,3.67
0.58,Ideal,F,VVS1,61.7,56,2772,5.33,5.37,3.3
0.74,Very Good,F,VS2,61.3,61,2775,5.8,5.84,3.57
0.71,Premium,F,VS2,62.1,58,2777,5.67,5.7,3.53
0.71,Very Good,F,VS2,62.8,57,2777,5.64,5.69,3.56
0.71,Good,F,VS2,63.8,58,2777,5.61,5.64,3.59
0.71,Good,F,VS2,57.8,60,2777,5.87,5.9,3.4
0.72,Premium,F,SI1,61.8,61,2777,5.82,5.71,3.56
0.78,Premium,F,SI1,62.4,58,2777,5.83,5.8,3.63
0.52,Ideal,F,VVS1,61.3,55,2778,5.19,5.22,3.19
0.7,Very Good,F,VS2,63.6,57,2780,5.61,5.65,3.58
0.71,Ideal,F,VS2,62.1,54,2780,5.68,5.72,3.54
1.01,Premium,F,I1,61.8,60,2781,6.39,6.36,3.94
0.75,Premium,F,SI1,61.4,59,2782,5.88,5.85,3.6
0.52,Ideal,F,IF,62.2,55,2783,5.14,5.18,3.21
0.72,Very Good,F,VS2,63,54,2784,5.69,5.73,3.6
0.72,Very Good,F,VS2,63.6,58,2787,5.66,5.69,3.61
0.51,Ideal,F,VVS1,62,57,2787,5.11,5.15,3.18
0.71,Ideal,F,SI1,62.5,55,2788,5.71,5.65,3.55
0.77,Good,F,SI1,64.2,52,2789,5.81,5.77,3.72
0.83,Ideal,F,SI2,62.3,55,2790,6.02,6.05,3.76
0.71,Premium,F,VS1,60.1,62,2790,5.77,5.74,3.46
0.71,Premium,F,VS1,61.8,59,2790,5.73,5.69,3.53
0.7,Premium,F,VS1,62.1,60,2792,5.71,5.65,3.53
0.7,Premium,F,VS1,60.7,60,2792,5.78,5.75,3.5
0.7,Ideal,F,VS1,62.2,56,2792,5.73,5.68,3.55
0.81,Ideal,F,SI2,62.6,55,2795,5.92,5.96,3.72
0.72,Good,F,VS1,60.7,60,2795,5.74,5.72,3.48
0.57,Ideal,F,VVS2,61.9,55,2797,5.34,5.35,3.31
0.8,Premium,F,SI2,61,57,2797,6.03,6.01,3.67
0.82,Ideal,F,SI2,62.4,54,2799,5.97,6.02,3.74
0.96,Ideal,F,I1,60.7,55,2801,6.37,6.41,3.88
0.73,Ideal,F,VS2,62.5,55,2801,5.8,5.76,3.61
0.73,Premium,F,VS2,62.7,58,2801,5.76,5.7,3.59
0.71,Premium,F,VS2,62.1,58,2801,5.7,5.67,3.53
0.71,Good,F,VS2,57.8,60,2801,5.9,5.87,3.4
0.71,Good,F,VS2,63.8,58,2801,5.64,5.61,3.59
0.71,Premium,F,VS2,62.8,57,2801,5.69,5.64,3.56
0.53,Ideal,F,IF,61.9,54,2802,5.22,5.25,3.24
0.72,Premium,F,VS1,62.4,58,2802,5.83,5.7,3.6
0.7,Very Good,F,VS2,62.9,58,2803,5.63,5.65,3.55
0.71,Premium,F,VS2,62.6,58,2803,5.7,5.67,3.56
0.71,Premium,F,VS2,58,62,2803,5.85,5.81,3.38
0.72,Ideal,F,VS1,61.7,57,2804,5.74,5.77,3.55
0.72,Very Good,F,VS1,62.2,58,2804,5.75,5.7,3.56
