carat,cut,color,clarity,depth,table,price,x,y,z
0.23,Very Good,G,VVS2,60.4,58,354,3.97,4.01,2.41
0.23,Ideal,G,VS1,61.9,54,404,3.93,3.95,2.44
0.28,Ideal,G,VVS2,61.4,56,553,4.19,4.22,2.58
0.31,Very Good,G,SI1,63.3,57,553,4.33,4.3,2.73
0.31,Premium,G,SI1,61.8,58,553,4.35,4.32,2.68
0.24,Premium,G,VVS1,62.3,59,554,3.95,3.92,2.45
0.7,Ideal,G,VS2,61.6,56,2757,5.7,5.67,3.5
0.78,Very Good,G,SI2,63.8,56,2759,5.81,5.85,3.72
0.74,Ideal,G,SI1,61.6,55,2760,5.8,5.85,3.59
0.75,Premium,G,VS2,61.7,58,2760,5.85,5.79,3.59
0.75,Ideal,G,SI1,62.2,55,2760,5.87,5.8,3.63
0.8,Premium,G,SI1,63,59,2760,5.9,5.81,3.69
0.74,Very Good,G,SI1,62.2,59,2762,5.73,5.82,3.59
0.71,Ideal,G,VS2,62.4,54,2762,5.72,5.76,3.58
0.64,Ideal,G,VVS1,61.9,56,2766,5.53,5.56,3.43
0.71,Premium,G,VS2,60.9,57,2766,5.78,5.75,3.51
0.71,Premium,G,VS2,59.8,56,2766,5.89,5.81,3.5
0.71,Very Good,G,VS1,63.3,59,2768,5.52,5.61,3.52
0.73,Premium,G,VS2,61.4,59,2770,5.83,5.76,3.56
0.73,Premium,G,VS2,60.7,58,2770,5.87,5.82,3.55
0.73,Premium,G,VS1,61.5,58,2770,5.79,5.75,3.55
0.73,Premium,G,VS2,59.2,59,2770,5.92,5.87,3.49
0.71,Ideal,G,VS2,61.9,57,2771,5.73,5.77,3.56
0.58,Ideal,G,VVS1,61.5,55,2772,5.39,5.44,3.33
0.72,Very Good,G,VS2,63.7,56.4,2776,5.62,5.69,3.61
0.72,Ideal,G,SI1,61.8,56,2776,5.72,5.75,3.55
0.72,Ideal,G,SI1,60.7,56,2776,5.79,5.82,3.53
0.72,Good,G,VS2,59.7,60.5,2776,5.8,5.84,3.47
0.71,Ideal,G,SI1,60.5,56,2776,5.8,5.76,3.5
0.77,Premium,G,VS2,61.2,58,2780,5.9,5.93,3.62
0.74,Ideal,G,VS1,61.5,55,2780,5.81,5.86,3.59
0.7,Ideal,G,VS1,61.4,59,2780,5.64,5.73,3.49
0.76,Ideal,G,VS2,61.3,56,2782,5.9,5.94,3.63
0.84,Fair,G,SI1,55.1,67,2782,6.39,6.2,3.47
0.77,Good,G,VS1,59.4,64,2788,5.97,5.92,3.53
0.81,Ideal,G,SI2,61.6,56,2789,5.97,6.01,3.69
0.55,Ideal,G,IF,60.9,57,2789,5.28,5.3,3.22
0.81,Good,G,SI2,61,61,2789,5.94,5.99,3.64
0.64,Ideal,G,IF,61.3,56,2790,5.54,5.58,3.41
0.79,Very Good,G,SI1,60.6,57,2793,5.98,6.06,3.65
0.72,Premium,G,VS2,62.9,57,2795,5.73,5.65,3.58
0.72,Ideal,G,VS2,61.9,58,2797,5.72,5.75,3.55
0.7,Fair,G,VVS1,58.8,66,2797,5.81,5.9,3.44
0.6,Very Good,G,IF,61.6,56,2800,5.43,5.46,3.35
0.83,Ideal,G,SI1,62.3,57,2800,5.99,6.08,3.76
0.83,Ideal,G,SI1,61.8,57,2800,6.03,6.07,3.74
0.74,Premium,G,VS1,62.9,60,2800,5.74,5.68,3.59
0.61,Ideal,G,IF,62.3,56,2800,5.43,5.45,3.39
0.76,Fair,G,VS1,59,70,2800,5.89,5.8,3.46
1.04,Premium,G,I1,62.2,58,2801,6.46,6.41,4
0.87,Very Good,G,SI2,59.9,58,2802,6.19,6.23,3.72
0.71,Ideal,G,VS2,61.3,56,2803,5.75,5.71,3.51
0.7,Good,G,VS1,65.1,58,2803,5.56,5.59,3.63
0.71,Premium,G,VS1,62.4,61,2803,5.7,5.65,3.54
0.77,Premium,G,VS2,61.3,57,2803,5.93,5.88,3.62
0.71,Premium,G,VS2,59.9,60,2803,5.81,5.77,3.47
0.78,Premium,G,VS2,60.8,58,2803,6.03,5.95,3.64
0.71,Very Good,G,VS1,63.5,55,2803,5.66,5.64,3.59
0.72,Ideal,G,VS2,62.8,56,2805,5.74,5.7,3.59
0.82,Good,G,VS2,64,57,2805,5.92,5.89,3.78
0.81,Very Good,G,SI1,62.5,60,2806,5.89,5.94,3.69
1,Fair,G,I1,66.4,59,2808,6.16,6.09,4.07
0.75,Very Good,G,VS2,63.4,56,2808,5.78,5.74,3.65
0.8,Good,G,SI1,62.7,57,2810,5.84,5.93,3.69
0.7,Very Good,G,VS1,63,60,2812,5.57,5.64,3.53
0.3,Ideal,G,VS1,62.3,56,555,4.29,4.31,2.68
0.35,Ideal,G,SI1,60.6,56,555,4.56,4.58,2.77
0.3,Ideal,G,VS2,62,56,556,4.28,4.3,2.66
0.91,Premium,G,SI2,59.8,58,2813,6.3,6.29,3.77
0.74,Premium,G,VS1,61.7,58,2815,5.79,5.81,3.58
1.02,Premium,G,I1,60.3,58,2815,6.55,6.5,3.94
0.61,Ideal,G,VVS2,60.1,57,2816,5.52,5.54,3.32
0.72,Very Good,G,VS1,63.8,58,2819,5.64,5.68,3.61
0.71,Ideal,G,VS1,62.9,58,2820,5.66,5.69,3.57
0.71,Premium,G,VS1,62.2,59,2825,5.73,5.66,3.54
0.73,Very Good,G,VS1,62,57,2825,5.75,5.8,3.58
0.9,Premium,G,SI1,60.6,62,2830,6.21,6.13,3.74
0.79,Ideal,G,SI1,61.8,56,2831,5.93,5.91,3.66
0.71,Premium,G,VVS2,62.1,57,2832,5.75,5.65,3.54
0.81,Premium,G,SI1,63,60,2832,5.87,5.81,3.68
0.8,Ideal,G,VS2,62.2,56,2834,5.94,5.87,3.67
0.9,Fair,G,SI2,65.3,59,2834,6.07,6,3.94
0.7,Premium,G,VS1,62.6,55,2838,5.73,5.64,3.56
0.7,Premium,G,VS1,63,60,2838,5.64,5.57,3.53
0.73,Ideal,G,VS2,61.8,54,2839,5.8,5.82,3.59
0.7,Ideal,G,VS1,61.3,57,2839,5.71,5.74,3.51
0.71,Premium,G,VVS2,60.3,58,2839,5.82,5.78,3.5
0.79,Premium,G,VS2,59.3,62,2839,6.09,6.01,3.59
0.95,Fair,G,SI1,66.7,56,2841,6.16,6.03,4.06
0.73,Premium,G,VS1,61.4,58,2841,5.82,5.77,3.56
0.73,Ideal,G,VVS2,61.3,57,2843,5.81,5.84,3.57
0.71,Ideal,G,VVS2,60.7,57,2843,5.81,5.78,3.52
0.77,Premium,G,VS2,61.3,60,2846,5.91,5.81,3.59
0.77,Premium,G,VS1,61.4,58,2846,5.94,5.89,3.63
0.7,Very Good,G,VVS2,62.9,59,2848,5.61,5.68,3.55
0.74,Ideal,G,SI1,61.3,55,2852,5.85,5.86,3.59
0.71,Good,G,VS1,63.5,55,2853,5.64,5.66,3.59
1,Fair,G,SI2,67.8,61,2856,5.96,5.9,4.02
0.8,Ideal,G,SI2,61.6,56,2856,5.97,6.01,3.69
0.34,Good,G,VS2,57.5,61,556,4.6,4.66,2.66
0.34,Very Good,G,VS2,59.6,62,556,4.54,4.56,2.71
0.31,Ideal,G,VS2,62.2,53.6,557,4.32,4.35,2.7
0.33,Premium,G,SI2,59.4,59,557,4.52,4.5,2.68
0.33,Premium,G,SI2,62.6,58,557,4.42,4.4,2.76
0.33,Ideal,G,SI2,61.9,56,557,4.45,4.41,2.74
0.9,Very Good,G,SI2,63.1,58,2857,6.08,6.02,3.82
0.7,Ideal,G,VVS2,62.1,56,2858,5.63,5.71,3.52
0.9,Fair,G,SI2,64.5,56,2858,6.06,6,3.89
0.71,Ideal,G,VS1,61.5,56,2859,5.74,5.78,3.54
0.62,Ideal,G,VVS2,61.6,56,2861,5.45,5.48,3.37
0.62,Ideal,G,VVS2,61.6,56,2861,5.48,5.51,3.38
0.83,Premium,G,SI1,62.3,58,2863,6.01,5.97,3.73
0.8,Ideal,G,SI1,61.3,57,2867,5.96,5.91,3.64
0.62,Ideal,G,IF,60.5,57,2868,5.52,5.56,3.35
0.62,Ideal,G,IF,61.8,56,2869,5.43,5.47,3.37
0.73,Ideal,G,VVS2,61.3,57,2869,5.84,5.81,3.57
0.8,Ideal,G,SI1,62.5,57,2870,5.94,5.9,3.7
0.79,Ideal,G,SI1,62.6,55,2871,5.91,5.95,3.71
0.7,Very Good,G,SI2,59,62,2872,5.79,5.81,3.42
0.84,Good,G,SI1,65.1,55,2872,5.88,5.97,3.86
0.7,Premium,G,VVS2,61.8,58,2874,5.67,5.63,3.49
0.7,Premium,G,VVS2,62.9,59,2874,5.68,5.61,3.55
0.74,Ideal,G,VS2,62.3,55,2877,5.8,5.83,3.62
0.84,Ideal,G,SI2,61,56,2879,6.13,6.1,3.73
0.84,Ideal,G,SI2,62.3,55,2879,6.08,6.03,3.77
0.72,Very Good,G,VVS2,62.5,58,2889,5.68,5.72,3.56
0.66,Ideal,G,VVS1,61.5,56,2890,5.61,5.58,3.44
0.82,Very Good,G,SI2,62.5,56,2893,5.99,6.04,3.76
0.71,Ideal,G,VVS2,61.5,57,2893,5.73,5.75,3.53
0.8,Ideal,G,SI2,62.5,55,2893,5.89,5.92,3.69
0.82,Good,G,SI2,59.9,62,2893,6.02,6.04,3.61
0.82,Very Good,G,SI1,63.4,55,2893,6,5.93,3.78
0.82,Premium,G,SI1,59.9,59,2893,6.09,6.06,3.64
0.81,Ideal,G,SI2,62.2,57,2894,5.96,6,3.72
0.71,Very Good,G,VS2,60.9,56,2895,5.75,5.78,3.51
0.7,Ideal,G,VVS2,62.1,53,2895,5.71,5.75,3.56
0.74,Very Good,G,VS1,59.8,58,2896,5.85,5.89,3.51
0.77,Very Good,G,VS2,61.3,60,2896,5.81,5.91,3.59
0.77,Very Good,G,VS2,58.3,63,2896,6,6.05,3.51
0.79,Ideal,G,SI1,61.1,57,2898,5.98,5.93,3.64
0.79,Ideal,G,SI1,62.3,57,2898,5.9,5.85,3.66
0.79,Ideal,G,SI1,62.3,57,2898,5.9,5.85,3.66
