carat,cut,color,clarity,depth,table,price,x,y,z
0.26,Very Good,H,SI1,61.9,55,337,4.07,4.11,2.53
0.23,Very Good,H,VS1,59.4,61,338,4,4.05,2.39
0.23,Very Good,H,VS1,61,57,353,3.94,3.96,2.41
0.31,Good,H,SI1,64,54,402,4.29,4.31,2.75
0.32,Good,H,SI2,63.1,56,403,4.34,4.37,2.75
0.32,Very Good,H,SI2,61.8,55,403,4.35,4.42,2.71
0.32,Good,H,SI2,63.8,56,403,4.36,4.38,2.79
0.29,Very Good,H,SI2,60.7,60,404,4.33,4.37,2.64
0.3,Very Good,H,SI1,63.1,56,554,4.29,4.27,2.7
0.3,Premium,H,SI1,62.9,59,554,4.28,4.24,2.68
0.3,Premium,H,SI1,62.5,57,554,4.29,4.25,2.67
0.3,Good,H,SI1,63.7,57,554,4.28,4.26,2.72
0.24,Premium,H,VVS1,61.2,58,554,4.01,3.96,2.44
0.24,Premium,H,VVS1,60.8,59,554,4.02,4,2.44
0.24,Premium,H,VVS2,60.7,58,554,4.07,4.04,2.46
0.8,Premium,H,SI1,61.5,58,2760,5.97,5.93,3.66
0.91,Premium,H,SI1,61.4,56,2763,6.09,5.97,3.7
0.91,Fair,H,SI2,64.4,57,2763,6.11,6.09,3.93
0.91,Fair,H,SI2,65.7,60,2763,6.03,5.99,3.95
0.77,Ideal,H,VS2,62,56,2763,5.89,5.86,3.64
0.77,Very Good,H,VS1,61.3,60,2765,5.88,5.9,3.61
0.76,Ideal,H,SI1,61.2,57,2765,5.88,5.91,3.61
0.7,Good,H,VVS2,62.1,64,2767,5.62,5.65,3.5
0.72,Very Good,H,VVS2,60.3,56,2771,5.81,5.83,3.51
0.73,Very Good,H,VVS1,60.4,59,2772,5.83,5.89,3.54
0.98,Fair,H,SI2,67.9,60,2777,6.05,5.97,4.08
0.73,Very Good,H,VS2,60.8,56,2779,5.82,5.84,3.55
0.77,Ideal,H,SI1,62.2,56,2781,5.83,5.88,3.64
0.78,Ideal,H,SI1,61.2,56,2781,5.92,5.99,3.64
0.72,Very Good,H,VS1,60.6,63,2782,5.83,5.76,3.51
0.79,Very Good,H,VS1,63.7,56,2784,5.85,5.92,3.75
0.7,Very Good,H,VVS1,60.5,60,2788,5.74,5.77,3.48
1.01,Premium,H,SI2,62.7,59,2788,6.31,6.22,3.93
0.77,Premium,H,VS1,61.3,60,2789,5.9,5.88,3.61
0.76,Premium,H,VVS2,59.6,57,2792,5.91,5.86,3.51
0.73,Ideal,H,VS2,62.7,55,2793,5.72,5.76,3.6
0.81,Premium,H,VS2,58,59,2795,6.17,6.13,3.57
0.81,Very Good,H,SI2,61.3,59,2797,5.94,6.01,3.66
0.74,Ideal,H,VS1,61.8,58,2797,5.77,5.81,3.58
0.74,Ideal,H,VS1,61.6,56,2797,5.81,5.82,3.58
0.8,Very Good,H,VS2,63.4,60,2797,5.92,5.82,3.72
0.83,Very Good,H,SI1,62.5,59,2800,5.95,6.02,3.74
0.75,Ideal,H,SI1,60.4,57,2801,5.93,5.96,3.59
0.82,Ideal,H,VS2,61.5,56,2804,6.01,6.08,3.72
0.75,Very Good,H,VVS1,60.6,58,2806,5.85,5.9,3.56
0.8,Very Good,H,VS2,62.8,57,2808,5.87,5.91,3.7
0.3,Premium,H,SI1,60.9,59,554,4.31,4.29,2.62
0.3,Premium,H,SI1,60.1,55,554,4.41,4.38,2.64
0.3,Premium,H,SI1,62.9,58,554,4.28,4.24,2.68
0.3,Very Good,H,SI1,63.3,56,554,4.29,4.27,2.71
0.3,Good,H,SI1,63.8,55,554,4.26,4.2,2.7
0.3,Ideal,H,SI1,62.9,57,554,4.27,4.22,2.67
0.3,Very Good,H,SI1,63.4,60,554,4.25,4.23,2.69
0.33,Ideal,H,SI2,61.4,56,554,4.85,4.79,2.95
0.34,Ideal,H,VS2,61.5,56,555,4.47,4.5,2.76
0.34,Ideal,H,VS2,60.4,57,555,4.54,4.57,2.75
0.7,Ideal,H,SI1,60.4,56,2815,5.75,5.81,3.49
0.7,Ideal,H,SI1,61.4,56,2815,5.7,5.76,3.52
0.7,Ideal,H,SI1,61.5,55,2815,5.73,5.79,3.54
0.7,Ideal,H,SI1,61.4,56,2815,5.72,5.77,3.53
0.89,Premium,H,SI2,60.2,59,2815,6.26,6.23,3.76
0.87,Ideal,H,SI2,62.7,56,2816,6.16,6.13,3.85
0.83,Ideal,H,SI1,62.5,55,2816,6.04,6,3.76
1,Premium,H,I1,61.3,60,2818,6.43,6.39,3.93
0.8,Ideal,H,SI1,61,57,2818,6.07,6,3.68
1,Fair,H,SI2,65.3,62,2818,6.34,6.12,4.08
0.72,Ideal,H,VS1,62.3,56,2819,5.73,5.77,3.58
0.9,Fair,H,SI2,65.8,54,2823,6.05,5.98,3.96
0.83,Premium,H,SI1,60,59,2825,6.08,6.05,3.64
0.83,Premium,H,SI1,62.5,59,2825,6.02,5.95,3.74
0.91,Fair,H,SI2,61.3,67,2825,6.24,6.19,3.81
0.79,Premium,H,VVS2,62.6,58,2827,5.96,5.9,3.71
0.7,Ideal,H,VVS1,61.6,57,2827,5.69,5.74,3.52
0.7,Ideal,H,VVS1,62.3,55,2827,5.66,5.7,3.54
1.01,Premium,H,SI2,61.6,61,2828,6.39,6.31,3.91
0.77,Very Good,H,SI1,61.7,56,2830,5.84,5.89,3.62
0.82,Ideal,H,SI1,62.5,57,2832,5.91,5.97,3.71
0.85,Ideal,H,SI2,62.5,57,2833,6.02,6.07,3.78
0.8,Ideal,H,VS2,62.8,57,2834,5.91,5.87,3.7
0.82,Very Good,H,SI1,60.7,56,2836,6.04,6.06,3.67
0.76,Very Good,H,SI1,60.9,55,2838,5.92,5.94,3.61
0.77,Very Good,H,VS1,61,60,2840,5.9,5.87,3.59
0.7,Premium,H,VVS1,59.2,60,2840,5.87,5.78,3.45
0.79,Ideal,H,VS2,62.5,57,2844,5.91,5.93,3.7
0.8,Good,H,VS2,63.4,60,2845,5.92,5.82,3.72
1.27,Premium,H,SI2,59.3,61,2845,7.12,7.05,4.2
0.73,Ideal,H,VVS2,61.6,56,2846,5.79,5.84,3.58
1.01,Fair,H,SI2,65.4,59,2846,6.3,6.26,4.11
1.01,Good,H,I1,64.2,61,2846,6.25,6.18,3.99
0.84,Very Good,H,SI1,61.2,57,2847,6.1,6.12,3.74
1.2,Very Good,H,I1,63.1,60,2850,6.75,6.67,4.23
0.86,Premium,H,SI1,62.7,59,2851,6.04,5.98,3.77
0.78,Very Good,H,VS1,61.9,57.1,2854,5.87,5.95,3.66
1.12,Premium,H,I1,59.1,61,2854,6.78,6.75,4
0.91,Fair,H,SI1,65.8,58,2854,6.04,6.01,3.96
1.02,Ideal,H,SI2,61.6,55,2856,6.49,6.43,3.98
0.36,Ideal,H,SI1,61.9,55,556,4.57,4.59,2.83
0.31,Ideal,H,VS1,61.6,54.8,557,4.35,4.37,2.69
0.31,Ideal,H,VS1,61.8,54.2,557,4.33,4.37,2.69
1,Fair,H,SI2,66.1,56,2856,6.21,5.97,4.04
0.7,Ideal,H,VS2,61.1,57,2862,5.71,5.74,3.5
0.79,Premium,H,VS1,60,60,2862,6.07,5.99,3.64
0.71,Premium,H,VVS2,61.5,62,2863,5.74,5.68,3.51
0.7,Ideal,H,VVS1,62.3,58,2866,5.66,5.7,3.54
0.71,Very Good,H,VVS1,62.9,57,2867,5.67,5.69,3.57
0.71,Ideal,H,VVS1,60.4,57,2867,5.78,5.81,3.5
0.8,Premium,H,VS2,61.2,53,2867,6.05,5.98,3.68
0.72,Ideal,H,VVS2,60.9,57,2869,5.79,5.77,3.52
0.74,Ideal,H,SI1,62.1,56,2870,5.77,5.83,3.6
0.82,Ideal,H,VS2,59.5,57,2870,6.12,6.09,3.63
1,Fair,H,SI1,65.5,62,2873,6.14,6.07,4
1,Fair,H,SI2,67.7,60,2875,6.11,5.98,4.09
0.77,Ideal,H,SI1,62.4,56,2875,5.84,5.9,3.66
1,Fair,H,SI2,69.5,55,2875,6.17,6.1,4.26
0.72,Very Good,H,VS1,62.2,54,2877,5.74,5.76,3.57
0.7,Good,H,VVS1,62.7,56,2877,5.6,5.66,3.53
0.7,Ideal,H,VVS1,62,55,2881,5.74,5.71,3.55
1.05,Premium,H,I1,62,59,2881,6.5,6.47,4.02
0.7,Very Good,H,IF,62.8,56,2882,5.62,5.65,3.54
0.9,Good,H,SI2,62.7,64,2883,6.09,6,3.79
0.9,Fair,H,SI2,65,61,2883,6.01,5.96,3.89
0.9,Good,H,SI2,63.5,58,2889,6.09,6.14,3.88
0.86,Ideal,H,SI2,61.8,55,2892,6.12,6.14,3.79
1.19,Fair,H,I1,65.1,59,2892,6.62,6.55,4.29
0.7,Very Good,H,VVS1,59.2,60,2893,5.87,5.78,3.45
