carat,cut,color,clarity,depth,table,price,x,y,z
0.29,Premium,I,VS2,62.4,58,334,4.2,4.23,2.63
0.24,Very Good,I,VVS1,62.3,57,336,3.95,3.98,2.47
0.3,Ideal,I,SI2,62,54,348,4.31,4.34,2.68
0.3,Good,I,SI2,63.3,56,351,4.26,4.3,2.71
0.24,Premium,I,VS1,62.5,57,355,3.97,3.94,2.47
0.33,Ideal,I,SI2,61.8,55,403,4.49,4.51,2.78
0.33,Ideal,I,SI2,61.2,56,403,4.49,4.5,2.75
0.32,Ideal,I,SI1,60.9,55,404,4.45,4.48,2.72
0.3,Ideal,I,SI2,61,59,405,4.3,4.33,2.63
0.3,Very Good,I,SI1,62.6,57,405,4.25,4.28,2.67
0.3,Very Good,I,SI1,63,57,405,4.28,4.32,2.71
0.3,Good,I,SI1,63.2,55,405,4.25,4.29,2.7
0.35,Ideal,I,VS1,60.9,57,552,4.54,4.59,2.78
0.42,Premium,I,SI2,61.5,59,552,4.78,4.84,2.96
0.32,Ideal,I,VVS1,62,55.3,553,4.39,4.42,2.73
0.38,Ideal,I,SI2,61.6,56,554,4.65,4.67,2.87
0.32,Premium,I,SI1,62.9,58,554,4.35,4.33,2.73
0.8,Ideal,I,VS1,62.9,56,2760,5.94,5.87,3.72
0.74,Ideal,I,VVS2,62.3,55,2761,5.77,5.81,3.61
0.9,Premium,I,VS2,63,58,2761,6.16,6.12,3.87
0.74,Ideal,I,SI1,61.3,56,2769,5.82,5.86,3.57
0.83,Good,I,VS2,64.6,54,2774,5.85,5.88,3.79
0.83,Very Good,I,VS1,61.1,60,2788,6.07,6.1,3.72
0.76,Ideal,I,VVS2,61.8,56,2788,5.85,5.87,3.62
0.76,Premium,I,VVS1,58.8,59,2790,6,5.94,3.51
0.87,Very Good,I,SI1,63.6,55.8,2791,6.07,6.1,3.87
0.76,Ideal,I,VS2,61.3,56,2793,5.87,5.91,3.61
0.81,Premium,I,VVS2,61.9,60,2795,5.91,5.86,3.64
0.72,Premium,I,IF,63,57,2795,5.72,5.7,3.6
1,Premium,I,SI2,58.2,60,2795,6.61,6.55,3.83
0.77,Ideal,I,VS1,61.5,59,2798,5.87,5.91,3.62
0.9,Good,I,SI2,62.2,59,2800,6.07,6.11,3.79
0.9,Very Good,I,SI2,61.3,56,2800,6.17,6.23,3.8
0.79,Ideal,I,VS1,61.8,59,2800,5.92,5.95,3.67
0.9,Fair,I,SI1,67.3,59,2804,5.93,5.84,3.96
0.99,Fair,I,SI2,68.1,56,2811,6.21,6.06,4.18
0.32,Premium,I,SI1,62.7,58,554,4.37,4.34,2.73
0.32,Premium,I,SI1,62.8,58,554,4.39,4.34,2.74
0.32,Ideal,I,SI1,62.4,57,554,4.37,4.35,2.72
0.32,Premium,I,SI1,61,59,554,4.39,4.36,2.67
0.32,Very Good,I,SI1,63.1,56,554,4.39,4.36,2.76
0.32,Ideal,I,SI1,60.7,57,554,4.47,4.42,2.7
0.32,Good,I,SI1,63.9,55,554,4.36,4.34,2.78
0.34,Ideal,I,VS1,61.8,55,555,4.48,4.52,2.78
0.34,Ideal,I,VS1,62,56,555,4.5,4.53,2.8
0.36,Ideal,I,VS2,61.9,56,556,4.54,4.57,2.82
0.91,Good,I,VS2,64.3,58,2813,6.09,6.05,3.9
0.78,Very Good,I,VVS2,61.4,56,2816,5.91,5.95,3.64
0.71,Ideal,I,VVS2,60.2,56,2817,5.84,5.89,3.53
0.74,Ideal,I,VVS1,60.8,57,2822,5.85,5.89,3.57
0.9,Good,I,SI1,63.8,57,2823,6.06,6.13,3.89
0.77,Ideal,I,VVS2,62.1,57,2824,5.84,5.86,3.63
0.9,Premium,I,SI2,62.2,59,2826,6.11,6.07,3.79
0.9,Very Good,I,SI2,63.5,56,2826,6.17,6.07,3.88
0.8,Ideal,I,VS2,62.1,54.4,2830,5.94,5.99,3.7
0.91,Very Good,I,SI2,62.8,61,2832,6.15,6.18,3.87
0.8,Very Good,I,VS2,62,58,2833,5.86,5.95,3.66
0.78,Ideal,I,VS2,61.8,55,2834,5.92,5.95,3.67
0.8,Ideal,I,VS1,62.6,54,2842,5.92,5.96,3.72
1.01,Ideal,I,I1,61.5,57,2844,6.45,6.46,3.97
1.01,Good,I,I1,63.1,57,2844,6.35,6.39,4.02
0.78,Ideal,I,VS1,61.5,57,2852,5.88,5.92,3.63
0.91,Very Good,I,SI1,63.5,57,2852,6.12,6.07,3.87
0.82,Premium,I,VS1,61.9,58,2853,5.99,5.97,3.7
1.02,Fair,I,SI1,53,63,2856,6.84,6.77,3.66
1,Fair,I,SI1,67.9,62,2856,6.19,6.03,4.15
0.31,Ideal,I,VVS1,61.6,55,557,4.36,4.41,2.7
0.31,Ideal,I,VVS1,61.3,56,557,4.36,4.38,2.68
0.31,Ideal,I,VVS1,62.3,54,557,4.37,4.4,2.73
0.31,Ideal,I,VVS1,62,54,557,4.37,4.4,2.72
0.31,Ideal,I,VVS1,62.7,53,557,4.33,4.35,2.72
0.31,Ideal,I,VVS1,62.2,53,557,4.36,4.38,2.72
0.33,Ideal,I,SI1,63,57,557,4.39,4.37,2.76
0.33,Good,I,SI1,63.6,53,557,4.43,4.4,2.81
0.33,Premium,I,SI1,60.4,59,557,4.54,4.5,2.73
0.9,Premium,I,VS2,61.9,59,2857,6.2,6.14,3.82
0.9,Premium,I,SI1,63,58,2861,6.09,6.01,3.81
0.91,Good,I,VS2,64.3,58,2863,6.05,6.09,3.9
0.83,Very Good,I,VS2,61.6,58,2865,6.05,6.07,3.73
0.96,Premium,I,SI1,61.3,58,2866,6.39,6.3,3.89
0.72,Ideal,I,VS1,62.4,55,2868,5.72,5.75,3.58
1.04,Premium,I,I1,61.6,61,2870,6.47,6.45,3.98
0.75,Ideal,I,SI1,61.8,55,2871,5.83,5.85,3.61
1.02,Ideal,I,I1,61.7,56,2872,6.44,6.49,3.99
1,Ideal,I,SI2,61.7,56,2873,6.45,6.41,3.97
0.9,Fair,I,SI1,65.7,58,2873,6.03,6,3.95
0.9,Fair,I,SI1,65.3,61,2873,5.98,5.94,3.89
0.9,Fair,I,SI1,65.8,56,2873,6.01,5.96,3.94
1,Fair,I,SI1,66.3,61,2875,6.08,6.03,4.01
0.71,Ideal,I,VS2,61.5,55,2878,5.76,5.78,3.55
1.03,Fair,I,SI2,65.3,55,2884,6.32,6.27,4.11
1.01,Premium,I,SI1,62.7,60,2885,6.36,6.27,3.96
0.79,Ideal,I,VS1,61.7,59,2888,5.93,5.96,3.67
1.01,Very Good,I,I1,63.1,57,2896,6.39,6.35,4.02
1.01,Ideal,I,I1,61.5,57,2896,6.46,6.45,3.97
0.86,Very Good,I,VS1,61.2,58,2905,6.1,6.16,3.75
0.95,Good,I,SI2,63.8,57,2905,6.23,6.13,3.94
0.8,Ideal,I,VS1,62.2,58,2906,5.92,5.95,3.69
0.31,Premium,I,VS2,60.8,58,558,4.37,4.34,2.65
0.31,Premium,I,VS2,59.8,60,558,4.42,4.38,2.63
0.31,Very Good,I,VS2,63.2,55,558,4.4,4.3,2.75
0.31,Premium,I,VS2,62.3,57,558,4.35,4.32,2.7
0.31,Premium,I,VS2,60.8,60,558,4.42,4.37,2.67
0.31,Ideal,I,VS2,59.9,57,558,4.4,4.38,2.63
0.31,Premium,I,VS2,59.9,60,558,4.44,4.41,2.65
0.31,Premium,I,VS2,61.1,58,558,4.38,4.36,2.67
0.31,Premium,I,VS2,60.7,61,558,4.34,4.32,2.63
0.31,Very Good,I,VS2,63.1,54,558,4.34,4.31,2.73
0.31,Premium,I,VS2,62.3,60,558,4.32,4.31,2.69
0.73,Ideal,I,VS1,61.5,55,2908,5.8,5.84,3.58
0.9,Ideal,I,SI2,61.9,57,2909,6.19,6.13,3.81
1.05,Premium,I,SI2,58.3,57,2911,6.72,6.67,3.9
1,Fair,I,SI1,66,56,2912,6.31,6.24,4.13
0.91,Premium,I,SI2,62,59,2913,6.18,6.23,3.85
0.83,Very Good,I,VS2,62,55,2915,6.03,6.06,3.74
0.93,Ideal,I,SI1,62,57,2917,6.22,6.26,3.87
0.72,Ideal,I,VS2,61.8,55,2918,5.75,5.79,3.56
0.9,Fair,I,VS2,64.1,66,2921,6.04,5.98,3.85
0.9,Premium,I,VS2,58.7,60,2923,6.35,6.28,3.7
0.7,Ideal,I,VS1,61.5,56,2924,5.71,5.75,3.52
0.71,Ideal,I,IF,61.5,56,2925,5.74,5.77,3.54
1.02,Ideal,I,I1,61.7,56,2925,6.49,6.44,3.99
1.2,Premium,I,I1,60.5,58,2925,6.9,6.79,4.14
0.8,Ideal,I,SI1,59.4,58,2927,6.07,6.09,3.61
1.17,Fair,I,I1,65.4,62,2935,6.68,6.57,4.33
0.81,Ideal,I,VS2,61.8,56,2939,6.02,5.99,3.71
0.77,Ideal,I,SI1,61.5,56,2946,5.9,5.93,3.64
0.74,Ideal,I,VS1,62,56,2947,5.79,5.82,3.6
0.74,Ideal,I,VS1,61.1,57,2947,5.83,5.86,3.57
0.9,Premium,I,SI1,60.9,56,2947,6.26,6.21,3.8
0.9,Premium,I,SI2,62.5,58,2948,6.15,6.1,3.83
0.9,Fair,I,SI2,66.4,60,2948,5.92,5.86,3.91
0.9,Premium,I,SI2,60.6,60,2948,6.28,6.23,3.79
0.9,Ideal,I,SI2,62,56,2948,6.2,6.16,3.83
0.81,Very Good,I,VS1,62.7,58,2950,5.9,5.96,3.72
0.74,Ideal,I,IF,62.1,53.9,2952,5.79,5.81,3.6
0.89,Premium,I,VS1,62.2,62,2955,6.14,6.02,3.78
0.95,Good,I,SI2,63.8,57,2956,6.13,6.23,3.94
0.79,Ideal,I,VS1,62.2,57,2958,5.89,5.94,3.68
0.82,Ideal,I,SI1,61.8,55,2959,6,6.03,3.72
0.71,Ideal,I,VS1,61.8,56,2965,5.68,5.72,3.52
0.71,Ideal,I,VS1,61.6,56,2965,5.71,5.75,3.53
0.71,Ideal,I,VS1,61.3,57,2965,5.73,5.76,3.52
0.71,Ideal,I,VS1,61.5,56,2965,5.72,5.76,3.52
0.7,Ideal,I,VVS1,61.8,56,2966,5.69,5.73,3.53
0.41,Ideal,I,SI1,61.7,55,561,4.77,4.8,2.95
1.06,Premium,I,SI2,61.5,57,2968,6.57,6.49,4.02
1.04,Good,I,SI2,59.9,64,2970,6.51,6.45,3.88
0.91,Ideal,I,SI2,63,54,2976,6.17,6.12,3.86
0.91,Premium,I,SI2,60.2,59,2981,6.29,6.24,3.77
0.91,Ideal,I,SI2,61.6,57,2981,6.24,6.23,3.84
0.8,Ideal,I,VS1,61.9,54.1,2986,5.92,5.98,3.69
0.82,Ideal,I,VS1,61.6,57,2986,6,6.05,3.71
0.76,Ideal,I,IF,61.6,55,2988,5.92,5.89,3.64
0.88,Very Good,I,VS1,63.3,55,2996,6.11,6.06,3.85
0.74,Ideal,I,VS2,61.9,55,2997,5.8,5.83,3.6
0.9,Premium,I,SI2,60.6,60,3001,6.23,6.28,3.79
0.9,Very Good,I,SI2,62.5,58,3001,6.1,6.15,3.83
0.9,Ideal,I,SI2,62,56,3001,6.16,6.2,3.83
0.72,Ideal,I,VS1,60.4,56,3005,5.8,5.86,3.52
0.91,Very Good,I,SI2,63.4,58,3006,6.08,6.12,3.87
0.71,Ideal,I,VVS2,60.7,57,3007,5.76,5.8,3.51
0.71,Ideal,I,VVS2,60.4,57,3007,5.78,5.81,3.5
0.8,Ideal,I,VS1,60.7,59,3010,5.98,6.02,3.64
1.2,Fair,I,I1,62.2,66,3011,6.77,6.7,4.2
1.2,Fair,I,I1,66.2,55,3011,6.61,6.51,4.34
0.92,Fair,I,VS2,64.4,58,3033,6.13,6.1,3.94
0.91,Ideal,I,SI2,61.6,57,3034,6.23,6.24,3.84
