carat,cut,color,clarity,depth,table,price,x,y,z
0.31,Good,J,SI2,63.3,58,335,4.34,4.35,2.75
0.24,Very Good,J,VVS2,62.8,57,336,3.94,3.96,2.48
0.3,Good,J,SI1,64,55,339,4.25,4.28,2.73
0.23,Ideal,J,VS1,62.8,56,340,3.93,3.9,2.46
0.31,Ideal,J,SI2,62.2,54,344,4.35,4.37,2.71
0.3,Good,J,SI1,63.4,54,351,4.23,4.29,2.7
0.3,Good,J,SI1,63.8,56,351,4.23,4.26,2.71
0.3,Very Good,J,SI1,62.7,59,351,4.21,4.27,2.66
0.31,Very Good,J,SI1,59.4,62,353,4.39,4.43,2.62
0.31,Very Good,J,SI1,58.1,62,353,4.44,4.47,2.59
0.3,Very Good,J,VS2,62.2,57,357,4.28,4.3,2.67
0.33,Ideal,J,SI1,61.1,56,403,4.49,4.55,2.76
0.3,Premium,J,SI2,59.3,61,405,4.43,4.38,2.61
1.17,Very Good,J,I1,60.2,61,2774,6.83,6.9,4.13
1.05,Very Good,J,SI2,63.2,56,2789,6.49,6.45,4.09
1.05,Fair,J,SI2,65.8,59,2789,6.41,6.27,4.18
1,Premium,J,SI2,62.3,58,2801,6.45,6.34,3.98
0.93,Premium,J,SI2,61.9,57,2807,6.21,6.19,3.84
1,Fair,J,VS2,65.7,59,2811,6.14,6.07,4.01
0.99,Fair,J,SI1,55,61,2812,6.72,6.67,3.68
0.9,Fair,J,VS2,65,56,2815,6.08,6.04,3.94
0.9,Ideal,J,VS2,62.8,55,2817,6.2,6.16,3.88
0.9,Good,J,VS2,64,61,2822,6.04,6.03,3.86
1.17,Premium,J,I1,60.2,61,2825,6.9,6.83,4.13
0.9,Good,J,SI1,64.3,63,2832,6.05,6.01,3.88
0.9,Very Good,J,SI1,63.4,54,2834,6.17,6.14,3.9
0.75,Ideal,J,SI1,61.5,56,2850,5.83,5.87,3.6
0.91,Fair,J,VS2,64.4,62,2854,6.06,6.03,3.89
0.91,Fair,J,VS2,65.4,60,2854,6.04,6,3.94
0.91,Good,J,VS2,64.2,58,2854,6.12,6.09,3.92
1.03,Good,J,SI1,63.6,57,2855,6.38,6.29,4.03
0.33,Premium,J,VS1,62.8,58,557,4.41,4.38,2.76
0.33,Premium,J,VS1,61.5,61,557,4.46,4.39,2.72
0.33,Ideal,J,VS1,62.1,55,557,4.44,4.41,2.75
0.92,Premium,J,SI1,62.9,58,2858,6.22,6.18,3.9
0.9,Very Good,J,SI2,63.6,58,2860,6.07,6.1,3.87
0.91,Premium,J,SI1,59.5,62,2863,6.4,6.18,3.74
0.9,Premium,J,VS2,59.8,62,2863,6.24,6.21,3.72
0.9,Premium,J,SI1,62.8,59,2871,6.13,6.03,3.82
0.9,Premium,J,SI1,61.8,58,2873,6.16,6.13,3.8
0.9,Good,J,SI1,64,61,2873,6,5.96,3.83
0.9,Premium,J,SI1,60.9,61,2873,6.26,6.22,3.8
1,Fair,J,VS1,65.5,55,2875,6.3,6.25,4.11
1.02,Ideal,J,SI2,60.3,54,2879,6.53,6.5,3.93
0.92,Very Good,J,SI2,58.7,61,2880,6.34,6.43,3.75
1.12,Premium,J,SI2,60.6,59,2898,6.68,6.61,4.03
0.91,Very Good,J,SI1,63.5,58,2905,6.17,6.12,3.9
0.91,Premium,J,SI1,62.8,59,2905,6.19,6.14,3.87
1.24,Very Good,J,I1,61.9,55,2940,6.85,6.92,4.26
0.99,Fair,J,SI1,58,67,2949,6.57,6.5,3.79
0.91,Very Good,J,SI1,62.8,59,2956,6.14,6.19,3.87
0.9,Fair,J,VS1,65.4,60,2964,6.02,5.93,3.91
0.9,Premium,J,VS1,62.1,62,2964,6.12,6.05,3.78
0.9,Fair,J,VS1,64.6,58,2964,6.12,6.06,3.93
0.9,Very Good,J,SI2,63.3,59,2973,6.08,6.12,3.86
0.9,Very Good,J,VS2,63.1,57,2984,6.12,6.06,3.84
1.06,Fair,J,SI2,61,66,2992,6.54,6.35,3.93
1.24,Premium,J,I1,61.9,55,2994,6.92,6.85,4.26
1.01,Fair,J,VVS2,66,56,2998,6.29,6.22,4.13
0.93,Good,J,VS2,63.6,61,3000,6.16,6.08,3.89
1.2,Fair,J,I1,64.9,59,3011,6.61,6.54,4.27
0.9,Very Good,J,VS2,63.1,59,3024,6.09,6.05,3.83
0.9,Good,J,VS2,63.9,58,3024,6.15,6.08,3.91
1.02,Fair,J,SI1,66.8,55,3027,6.25,6.18,4.15
1.14,Ideal,J,SI1,60.2,57,3045,6.81,6.71,4.07
0.9,Ideal,J,VS1,62.6,55,3048,6.13,6.11,3.83
0.91,Premium,J,VS2,61.6,58,3058,6.28,6.23,3.85
0.9,Very Good,J,SI1,63.8,56,3061,6.11,6.14,3.91
0.93,Premium,J,VS1,60.3,58,3062,6.37,6.31,3.82
0.92,Good,J,SI2,59,63,3070,6.3,6.35,3.73
1,Fair,J,VS1,66.6,57,3080,6.07,6.03,4.03
0.91,Very Good,J,VS1,63.5,55,3082,6.22,6.12,3.92
1.01,Good,J,SI2,63.7,60,3088,6.4,6.29,4.05
1.01,Very Good,J,SI2,63.3,53,3088,6.35,6.31,4.01
0.92,Premium,J,VS2,60.9,62,3091,6.31,6.26,3.83
0.9,Very Good,J,VS1,62.6,55,3102,6.11,6.13,3.83
0.9,Ideal,J,SI1,62.6,54,3102,6.16,6.23,3.88
0.9,Ideal,J,VS2,59.8,56,3105,6.27,6.24,3.74
0.91,Very Good,J,VS2,61.6,58,3112,6.23,6.28,3.85
0.9,Very Good,J,VS2,61.9,59,3119,6.14,6.2,3.82
1.02,Premium,J,SI2,62.3,58,3119,6.42,6.37,3.98
1.02,Fair,J,SI2,65,59,3119,6.34,6.24,4.08
0.93,Premium,J,VS2,61.1,59,3125,6.34,6.32,3.87
0.97,Good,J,VS2,64.3,58,3129,6.25,6.22,4.01
0.9,Premium,J,SI1,60.4,59,3141,6.27,6.24,3.78
0.9,Very Good,J,VS2,63.5,56,3145,6.12,6.1,3.88
0.92,Very Good,J,VS2,60.9,62,3146,6.26,6.31,3.83
1.03,Good,J,SI2,64.1,62,3149,6.37,6.33,4.07
1.03,Fair,J,SI2,64.6,62,3149,6.3,6.21,4.06
1.03,Premium,J,SI2,62.2,59,3149,6.42,6.4,3.99
0.95,Very Good,J,SI1,63.4,55,3154,6.25,6.21,3.95
0.95,Fair,J,SI1,58,66,3154,6.5,6.46,3.76
1.22,Premium,J,SI2,62.6,59,3156,6.79,4.24,3.76
0.9,Ideal,J,VS2,61.3,57,3160,6.16,6.24,3.8
0.91,Very Good,J,SI2,62.4,61,3169,6.13,6.2,3.85
0.92,Very Good,J,SI1,62.6,58,3170,6.18,6.22,3.88
0.92,Ideal,J,SI1,62.3,56,3170,6.24,6.29,3.9
0.9,Ideal,J,VS1,62.5,55,3175,6.18,6.14,3.85
0.9,Premium,J,VS1,62.3,56,3175,6.23,6.19,3.87
1,Fair,J,SI1,65.3,57,3175,6.33,6.12,4.08
0.93,Very Good,J,VS2,61.1,59,3180,6.32,6.34,3.87
0.91,Very Good,J,SI2,62,56,3181,6.18,6.23,3.85
0.92,Ideal,J,SI1,61.7,57,3181,6.21,6.26,3.85
0.96,Premium,J,SI1,62.9,59,3187,6.3,6.22,3.94
1.03,Good,J,SI2,56.2,62,3188,6.69,6.73,3.77
0.9,Very Good,J,VS1,62.5,56,3188,6.11,6.21,3.85
1.01,Premium,J,VS2,62.4,60,3190,6.45,6.35,3.99
1.01,Fair,J,VS2,65.8,55,3190,6.29,6.24,4.12
0.9,Good,J,VVS2,57.4,61,3193,6.42,6.37,3.67
0.9,Very Good,J,VS1,62.9,56,3197,6.13,6.18,3.87
1,Fair,J,SI2,56.3,64,3199,6.58,6.54,3.69
1.04,Good,J,SI2,63.8,56,3204,6.36,6.32,4.05
1.01,Ideal,J,SI1,62.1,54,3207,6.48,6.4,4
0.93,Very Good,J,VS2,63.3,61,3208,6.19,6.14,3.9
0.91,Good,J,VS1,64.2,60,3210,6.01,5.95,3.84
0.92,Ideal,J,VS2,61.1,57,3215,6.31,6.22,3.83
1.1,Premium,J,SI2,60,58,3216,6.77,6.66,4.03
0.9,Very Good,J,SI1,63.6,57,3225,6.07,6.1,3.87
0.9,Very Good,J,VS1,62.3,56,3231,6.19,6.23,3.87
1,Good,J,SI2,62.7,58,3234,6.28,6.32,3.95
1.03,Fair,J,SI2,56.2,62,3246,6.73,6.69,3.77
0.93,Premium,J,VS2,62.3,60,3250,6.3,6.23,3.9
0.9,Ideal,J,VS2,62.5,57,3255,6.16,6.26,3.88
0.91,Ideal,J,VS2,62.1,56,3256,6.18,6.22,3.85
0.91,Very Good,J,VS2,61,58,3258,6.22,6.3,3.82
1,Good,J,VVS2,63.7,57,3265,6.34,6.31,4.03
1.12,Premium,J,SI2,60.7,61,3266,6.71,6.64,4.05
0.91,Ideal,J,VS1,60.7,57,3267,6.23,6.26,3.79
0.96,Premium,J,SI1,60.3,59,3269,6.4,6.36,3.85
0.95,Ideal,J,SI1,63,56,3275,6.32,6.26,3.96
1,Premium,J,SI1,62,62,3276,6.27,6.22,3.87
0.93,Ideal,J,VS1,62.3,56,3281,6.26,6.22,3.89
1.04,Good,J,VS2,58.2,64,3285,6.64,6.53,3.85
0.91,Very Good,J,VS2,61.6,59,3290,6.13,6.25,3.81
0.91,Good,J,VS2,61.3,61,3290,6.18,6.25,3.81
1,Very Good,J,SI2,62.8,63,3293,6.26,6.19,3.19
1,Very Good,J,SI2,63.2,62,3293,6.32,6.27,3.98
1,Premium,J,SI2,62.7,58,3293,6.32,6.28,3.95
1.01,Premium,J,VS2,62.4,60,3296,6.45,6.35,3.99
0.91,Ideal,J,VS1,60.7,57,3296,6.26,6.23,3.79
1.02,Good,J,SI2,63.1,58,3298,6.34,6.38,4.01
0.91,Very Good,J,VS2,62.6,55,3299,6.17,6.19,3.87
0.91,Ideal,J,VS2,61.9,58,3299,6.18,6.22,3.84
1.08,Fair,J,SI2,64.9,60,3302,6.46,6.32,4.15
0.41,Good,J,VS2,64,59,565,4.64,4.71,2.99
0.38,Very Good,J,VS2,60.5,60,566,4.64,4.68,2.82
0.96,Good,J,VS2,63.9,58,3312,6.27,6.21,3.99
1.24,Ideal,J,SI1,62.3,57,3312,6.86,6.81,4.26
0.95,Very Good,J,VS2,63.5,56,3314,6.24,6.27,3.97
