"time"	"probe"	"rep"	"value"
0	"bg"	"1"	2091.485
0.07452	"bg"	"1"	2088.106
0.14903	"bg"	"1"	2090.779
0.22355	"bg"	"1"	2081.421
0.29806	"bg"	"1"	2093.098
0.37258	"bg"	"1"	2084.073
0.44709	"bg"	"1"	2083.591
0.52161	"bg"	"1"	2086.72
0.59612	"bg"	"1"	2094.346
0.67064	"bg"	"1"	2088.687
0.74516	"bg"	"1"	2095.649
0.81967	"bg"	"1"	2085.033
0.89419	"bg"	"1"	2084.917
0.9687	"bg"	"1"	2076.015
1.04322	"bg"	"1"	2082.977
1.11773	"bg"	"1"	2083.731
1.19225	"bg"	"1"	2085.584
1.26677	"bg"	"1"	2081.224
1.34128	"bg"	"1"	2084.3
1.4158	"bg"	"1"	2086.234
1.49031	"bg"	"1"	2083.012
1.56483	"bg"	"1"	2078.611
1.63934	"bg"	"1"	2078.602
1.71386	"bg"	"1"	2083.176
1.78837	"bg"	"1"	2078.447
1.86289	"bg"	"1"	2085.218
1.93741	"bg"	"1"	2081.713
2.01192	"bg"	"1"	2073.476
2.08644	"bg"	"1"	2084.422
2.16095	"bg"	"1"	2081.341
2.23547	"bg"	"1"	2074.501
2.30998	"bg"	"1"	2081.397
2.3845	"bg"	"1"	2083.781
2.45901	"bg"	"1"	2082.583
2.53353	"bg"	"1"	2072.418
2.60805	"bg"	"1"	2079.841
2.68256	"bg"	"1"	2076.757
2.75708	"bg"	"1"	2077.162
2.83159	"bg"	"1"	2076.384
2.90611	"bg"	"1"	2080.02
2.98062	"bg"	"1"	2075.681
3.05514	"bg"	"1"	2081.087
3.12966	"bg"	"1"	2082.86
3.20417	"bg"	"1"	2078.924
3.27869	"bg"	"1"	2073.509
3.3532	"bg"	"1"	2074.921
3.42772	"bg"	"1"	2080.792
3.50223	"bg"	"1"	2073.911
3.57675	"bg"	"1"	2071.747
3.65126	"bg"	"1"	2082.086
3.72578	"bg"	"1"	2074.426
3.8003	"bg"	"1"	2073.976
3.87481	"bg"	"1"	2072.921
3.94933	"bg"	"1"	2074.31
4.02384	"bg"	"1"	2078.506
4.09836	"bg"	"1"	2077.234
4.17287	"bg"	"1"	2072.498
4.24739	"bg"	"1"	2076.7
4.3219	"bg"	"1"	2073.848
4.39642	"bg"	"1"	2077.386
